omitted_domain,operator,mu,sigma,G,rank
WBC,Tenengrad,0.156468724537292,0.01428797836683715,0.11381450068615552,2
WBC,Brenner Gradient,0.16190891083952444,0.01680431820860969,0.11837753305025,6
WBC,Variance of Laplacian,0.4250528868720268,0.10025038202881031,0.3276121354190618,26
WBC,Sum Modified Laplacian,0.4289912874638358,0.1003768158361919,0.3304069459755426,27
WBC,Normalized Variance,0.27355244280407,0.08123232868763969,0.21585640856914087,10
WBC,Energy of Gradient,0.15665960059174397,0.014426775017927235,0.11398975291959894,4
WBC,Histogram Entropy,0.3659373242603793,0.17788189113540576,0.3095206943228872,24
WBC,GLCM Contrast,0.49961894000751333,0.192315019229163,0.40742776377400824,32
WBC,Variance of Gradient,0.14876386936873473,0.01637648096977937,0.10904765284904812,1
WBC,Fourier Transform Sharpness Index,0.1882326378859812,0.03166191902362536,0.14126142222727445,8
WBC,Fourier High Frequency Energy Ratio,0.3170561766793262,0.12001551052790872,0.2579439768339009,22
WBC,Roberts Focus Measure,0.25229351843693215,0.14087348908610406,0.21886750963168372,11
WBC,Wavelet W1,0.284726522450791,0.12018778225714596,0.23536490039269747,16
WBC,Wavelet W2,0.28592385021579086,0.1202936752823914,0.23623479773577102,20
WBC,Wavelet W3,0.285045360386693,0.120575900905413,0.23570452254230898,19
WBC,Wavelet Detail Energy (db1),0.2850724522911876,0.1200680387955816,0.23557112824250578,18
WBC,Curvelet Transform Sharpness Index,0.2849844835179372,0.12016168551699243,0.23553764411765377,17
WBC,DCT Focus Measure,0.2533113874889838,0.1087682390018113,0.20994844294283205,9
WBC,Intensity Skewness Index,0.46920803863408655,0.11984442072614633,0.36439895326170446,31
WBC,Squared Gradient,0.15668327455652206,0.014339598684693039,0.11398017179497334,3
WBC,Gradient Squared Energy,0.156715766681543,0.014408532063746527,0.11402359629620405,5
WBC,Mean Intensity,0.4589496532413057,0.06097352612524751,0.3395568151064882,30
WBC,Intensity Variance,0.27852529803669657,0.0859422566635596,0.22075038562475546,12
WBC,Intensity Range Index,0.3217752594345589,0.05981064009627355,0.24318587363307329,21
WBC,Maximal Intensity,0.3973915441216449,0.09995329589403514,0.30816006965336196,23
WBC,Laplacian Energy,0.43515628076958357,0.10020455271838417,0.33467076235422377,28
WBC,Mean Absolute Laplacian,0.4392927268859722,0.09840235179293291,0.3370256143580604,29
WBC,Spatial Frequency,0.262529416741044,0.12927944698853328,0.22255442581529078,15
WBC,Modified Tenengrad,0.17791425308948677,0.016328250936177645,0.12943845244349403,7
WBC,Absolute Central Moment 2,0.2791230205278026,0.0859136315045453,0.22116020382082538,13
WBC,Absolute Central Moment 4,0.2792025090784289,0.08762178901828296,0.22172829306038513,14
WBC,Image Power,0.42444421044882663,0.09415915597594314,0.3253586941069616,25
TBI,Tenengrad,0.14290504619309,0.015469141362870083,0.10467427474402402,2
TBI,Brenner Gradient,0.14582680066748838,0.017342178147278727,0.10728141391142548,6
TBI,Variance of Laplacian,0.33286178400159505,0.15572231340530837,0.27971994282270907,26
TBI,Sum Modified Laplacian,0.3381807766391426,0.15712155453656054,0.28386301000836794,27
TBI,Normalized Variance,0.3182350361940827,0.024530266348460592,0.23012360524039607,18
TBI,Energy of Gradient,0.14309505056633698,0.01577392184664487,0.10489871195042935,4
TBI,Histogram Entropy,0.39944826674986567,0.15424896184290926,0.32588847527777876,30
TBI,GLCM Contrast,0.3912871818906053,0.19373330911779446,0.33202102005876205,31
TBI,Variance of Gradient,0.13511202190065424,0.0078453977688078,0.0969320346611003,1
TBI,Fourier Transform Sharpness Index,0.18525431057475197,0.03454759140401985,0.14004229482353234,8
TBI,Fourier High Frequency Energy Ratio,0.2652952217795071,0.14717181152879774,0.2298581987042943,17
TBI,Roberts Focus Measure,0.2330043558156002,0.15221493814869266,0.20876753051552793,9
TBI,Wavelet W1,0.2667977587714566,0.13243941531808295,0.2264902557354445,12
TBI,Wavelet W2,0.26800085028857534,0.13256888825981467,0.22737126167994715,16
TBI,Wavelet W3,0.26791414808755637,0.1324348956702143,0.22727037236235376,15
TBI,Wavelet Detail Energy (db1),0.26709110771132505,0.13239551617342082,0.22668243024995377,14
TBI,Curvelet Transform Sharpness Index,0.2670617669228529,0.1324384941413926,0.2266747850884148,13
TBI,DCT Focus Measure,0.2599567966830609,0.10293473491540478,0.21285017815276405,10
TBI,Intensity Skewness Index,0.3853045619712411,0.02612440388282423,0.27755051454471596,24
TBI,Squared Gradient,0.14311005769974608,0.01569672241729308,0.10488605711501017,3
TBI,Gradient Squared Energy,0.1431480932005607,0.01582443397396267,0.1049509954325813,5
TBI,Mean Intensity,0.4031080136185684,0.045048873153891125,0.2956902714791652,29
TBI,Intensity Variance,0.32270130614603776,0.03347795795512433,0.2359343016887637,21
TBI,Intensity Range Index,0.31184610369297866,0.05766719998412139,0.23559243258032148,20
TBI,Maximal Intensity,0.4434553199400831,0.14037821772438677,0.35253218927537416,32
TBI,Laplacian Energy,0.34106344145372036,0.15832949160235588,0.286243256498311,28
TBI,Mean Absolute Laplacian,0.34345516587734903,0.13052528887401668,0.2795762027763493,25
TBI,Spatial Frequency,0.24476829103411177,0.1399555601578096,0.2133244717712211,11
TBI,Modified Tenengrad,0.15886796271751613,0.018569737173290645,0.11677849505424848,7
TBI,Absolute Central Moment 2,0.3231813847410091,0.033412633606374156,0.23625075940061863,22
TBI,Absolute Central Moment 4,0.31328462279201824,0.0456093754400617,0.23298204858643126,19
