omitted_domain,operator,mu,sigma,G,rank
TBI,Image Power,0.35157142119718915,0.06180755803095383,0.2646422622473185,23
PBS,Tenengrad,0.1455335987962787,0.019395892485117375,0.1076922869029303,3
PBS,Brenner Gradient,0.15014123789600167,0.023445221609640864,0.11213243301009343,6
PBS,Variance of Laplacian,0.3347146377644527,0.15748326785568348,0.2815452267918219,24
PBS,Sum Modified Laplacian,0.3443216586631857,0.16216913382256168,0.2896759012109985,26
PBS,Normalized Variance,0.2689058674153057,0.07795037308038757,0.21161921911483025,14
PBS,Energy of Gradient,0.1455146267044226,0.01940077394960351,0.10768047087797687,1
PBS,Histogram Entropy,0.29759996153875073,0.11335041642393284,0.24232509800430535,23
PBS,GLCM Contrast,0.47565681745681243,0.21728910071309968,0.3981465024336986,32
PBS,Variance of Gradient,0.14543554540674503,0.01973855804679571,0.10772644919876022,4
PBS,Fourier Transform Sharpness Index,0.16494012413136172,0.011438694821138812,0.11888969533829484,7
PBS,Fourier High Frequency Energy Ratio,0.28183699410019974,0.14917662340526586,0.24203888289171957,22
PBS,Roberts Focus Measure,0.23750542488883636,0.15075324838407306,0.21147977193740736,13
PBS,Wavelet W1,0.254365644000787,0.13341342511654944,0.2180799783355157,16
PBS,Wavelet W2,0.25538260470275925,0.1335398032673074,0.2188297642721237,20
PBS,Wavelet W3,0.2546338985541858,0.13358749090759434,0.21831997626020833,19
PBS,Wavelet Detail Energy (db1),0.2545367366788236,0.13335936046362687,0.2181835238142646,17
PBS,Curvelet Transform Sharpness Index,0.25454360627389006,0.13341897415663861,0.21820621663871462,18
PBS,DCT Focus Measure,0.23628816749559273,0.11392765742511658,0.1995800144744499,9
PBS,Intensity Skewness Index,0.45249877378947057,0.1313473294901424,0.35615334049967207,31
PBS,Squared Gradient,0.14558969108693087,0.019403102178919687,0.10773371441452752,5
PBS,Gradient Squared Energy,0.14553288974695125,0.019396725238144577,0.10769204039430924,2
PBS,Mean Intensity,0.4385211607891435,0.08195914970423769,0.33155255746367174,29
PBS,Intensity Variance,0.2681463143505505,0.07763344848732323,0.21099245459158228,11
PBS,Intensity Range Index,0.3062146485527123,0.052388414321189,0.2300667782832553,21
PBS,Maximal Intensity,0.44740767544473486,0.1398257265406304,0.3551330907735035,30
PBS,Laplacian Energy,0.3429298438688506,0.16009624852909424,0.2880797652669237,25
PBS,Mean Absolute Laplacian,0.3606298430293099,0.14991346907866338,0.2974149308441159,27
PBS,Spatial Frequency,0.24457876059212635,0.1400043593009328,0.21320644020476825,15
PBS,Modified Tenengrad,0.1653954432092889,0.026955669691866222,0.12386351115406208,8
PBS,Absolute Central Moment 2,0.2686170745745502,0.07751622625234125,0.21128682007788752,12
PBS,Absolute Central Moment 4,0.2611464906762611,0.07704487508503678,0.20591600599889381,10
PBS,Image Power,0.40114899622774014,0.1141383714489318,0.3150458087940976,28
BMA,Tenengrad,0.1512205242109568,0.020879478759863578,0.11211821057562883,2
BMA,Brenner Gradient,0.1571209220951334,0.02362696982595187,0.11707273641437893,6
BMA,Variance of Laplacian,0.3915754999187464,0.158222137075198,0.32156949106568183,24
BMA,Sum Modified Laplacian,0.39483065675931134,0.1588962840305349,0.32405034494067836,26
BMA,Normalized Variance,0.268139509751323,0.07726160239017214,0.21087613754297774,11
BMA,Energy of Gradient,0.15146658710509958,0.02100178540396979,0.11232714659476065,4
BMA,Histogram Entropy,0.3320825895686616,0.1678346880776617,0.2828082191213616,23
BMA,GLCM Contrast,0.48232261774637986,0.21200324658707675,0.4012268063985889,32
BMA,Variance of Gradient,0.14378110332592778,0.02021752612452263,0.10671203016550622,1
BMA,Fourier Transform Sharpness Index,0.18063311945596325,0.03625451966671326,0.13731953951918824,8
BMA,Fourier High Frequency Energy Ratio,0.301427455284611,0.139348665335488,0.2528038182998741,22
BMA,Roberts Focus Measure,0.24603955180775444,0.14605025476233727,0.21604276269412928,14
BMA,Wavelet W1,0.28352287479488014,0.12146418405144195,0.23490526757184868,16
BMA,Wavelet W2,0.2847120601000065,0.12157993666917101,0.23577242307075583,20
BMA,Wavelet W3,0.2838323639883688,0.12185049183142575,0.23523780234128588,19
BMA,Wavelet Detail Energy (db1),0.2837610520140227,0.12146035552434163,0.23507084306711837,18
BMA,Curvelet Transform Sharpness Index,0.28370661379699713,0.12151661238469799,0.23504961337330738,17
BMA,DCT Focus Measure,0.2512188981710136,0.11012708223184993,0.2088913533892645,10
BMA,Intensity Skewness Index,0.45460727831661557,0.13054286043747734,0.35738795295287407,31
BMA,Squared Gradient,0.1514343536024318,0.02097273169176436,0.11229586702923157,3
BMA,Gradient Squared Energy,0.15145915312562588,0.021038795445090408,0.11233304582146524,5
BMA,Mean Intensity,0.44210933503280375,0.08057653382761701,0.3336494946712477,29
BMA,Intensity Variance,0.2724054644740087,0.08194517001261198,0.2152673761355897,12
BMA,Intensity Range Index,0.3126153196763266,0.05813986058881472,0.23627268195007303,21
BMA,Maximal Intensity,0.42584036379524826,0.13600172701004726,0.33888877275968793,30
BMA,Laplacian Energy,0.39975942872871856,0.16150027777585865,0.3282816834428606,27
BMA,Mean Absolute Laplacian,0.4100526008344031,0.14718447404202176,0.33119216279668867,28
BMA,Spatial Frequency,0.25927045680395655,0.1322002315227097,0.2211493892195825,15
BMA,Modified Tenengrad,0.16870482101270326,0.027520799887889663,0.12634961467525918,7
BMA,Absolute Central Moment 2,0.27293067119563175,0.08188897912752346,0.21561816357519925,13
BMA,Absolute Central Moment 4,0.2594961342988908,0.0749273539913902,0.2041255002066406,9
BMA,Image Power,0.41434119588981205,0.10647640713687197,0.32198175926393,25
TBF,Tenengrad,0.15101086653678308,0.020964053424554107,0.11199682260311439,2
TBF,Brenner Gradient,0.15377039910443338,0.024797676690537358,0.11507858238026457,6
TBF,Variance of Laplacian,0.33357172690382453,0.1564123565652803,0.2804239158022613,24
TBF,Sum Modified Laplacian,0.3311543131106731,0.14960120937328558,0.27668838198945683,23
TBF,Normalized Variance,0.28352965073255504,0.08361184500527218,0.22355430901437015,18
TBF,Energy of Gradient,0.15115109014339462,0.02113143759265734,0.11214519437817344,4
TBF,Histogram Entropy,0.4012814784071686,0.15178730132535956,0.32643322528262586,30
TBF,GLCM Contrast,0.3758526565576087,0.1675089095484831,0.313349532454871,28
TBF,Variance of Gradient,0.14416535296690358,0.020167893446333227,0.10696611511073247,1
TBF,Fourier Transform Sharpness Index,0.18258230357882077,0.03590899596788098,0.13858031129553883,10
TBF,Fourier High Frequency Energy Ratio,0.22017295081392516,0.0782738711519463,0.1776032269153315,17
TBF,Roberts Focus Measure,0.15823823251936453,0.02988107902406484,0.11973108647077463,7
TBF,Wavelet W1,0.20308141793973586,0.05029019155116647,0.15724405002316502,12
TBF,Wavelet W2,0.20420136229416258,0.0505388132833341,0.15810259759091402,16
TBF,Wavelet W3,0.2034002802808119,0.05002111368947247,0.15738653030341004,13
TBF,Wavelet Detail Energy (db1),0.20340678266076673,0.05046819130337222,0.15752520525354835,15
TBF,Curvelet Transform Sharpness Index,0.20330537159714906,0.050336269327874404,0.15741464091636667,14
TBF,DCT Focus Measure,0.1894761647220805,0.03460941476489594,0.14301613973492514,11
TBF,Intensity Skewness Index,0.45618629243657516,0.12982507275434096,0.3582779265319049,31
TBF,Squared Gradient,0.15116435666621325,0.021082066908881494,0.11213966973901372,3
TBF,Gradient Squared Energy,0.15122621361649968,0.02113414430669353,0.11219859282355783,5
TBF,Mean Intensity,0.4275734860382243,0.0812851609826264,0.3236869885215449,29
TBF,Intensity Variance,0.29037522608379784,0.08729693314628255,0.22945173820254325,20
TBF,Intensity Range Index,0.34428224390403817,0.022313646322145202,0.24769166462947026,22
TBF,Maximal Intensity,0.49347803505116844,0.07889155152363786,0.3691020899929093,32
TBF,Laplacian Energy,0.34178686155448174,0.15902961769379786,0.28695968839627656,25
TBF,Mean Absolute Laplacian,0.36507328850710075,0.15297211914409106,0.30144293769819785,26
TBF,Spatial Frequency,0.17617951696071052,0.03277955359383147,0.1331595279506468,9
TBF,Modified Tenengrad,0.16901955304388128,0.02747033274393753,0.12655478695389816,8
TBF,Absolute Central Moment 2,0.29081284999480994,0.08724027062852548,0.2297410761849246,21
TBF,Absolute Central Moment 4,0.28597223298311814,0.0865462967072817,0.2261444521003672,19
TBF,Image Power,0.3831536704348621,0.11192495706899364,0.3017850564251015,27
