operator,submitted_sigma_definition,bootstrap_sigma_mean,bootstrap_sigma_ci_low,bootstrap_sigma_ci_high,MAD,worst_domain_score,G_with_MAD,G_with_worst_domain
Tenengrad,0.01901626237306613,0.01916055325503187,0.018203086839101216,0.02089137000765068,0.021831432002035633,0.17551857550204056,0.11114885603902676,0.15725499908902824
Brenner Gradient,0.02217974158949291,0.022251080687019746,0.02197846655941399,0.022839257583526174,0.014516644833726833,0.18546106793262776,0.11198255133447943,0.1632658782641497
Variance of Laplacian,0.15221011974463938,0.15155250254039254,0.14531260705101964,0.15852397578834893,0.007411415051430614,0.4863293994542653,0.2567121394799195,0.40038753480076994
Sum Modified Laplacian,0.1522734851574242,0.15169437866187815,0.145219380012473,0.15841123906410942,0.05266938221005041,0.5128614401934561,0.2730478316320759,0.41110544902709767
Normalized Variance,0.07481458921338445,0.07497415814648903,0.07273626976221725,0.0771155086109133,0.021651732210987984,0.3398044678920445,0.20422627062892348,0.29967209133324046
Energy of Gradient,0.019160799552265503,0.019307158146657177,0.018313365042893093,0.021085543310250105,0.022034041793397408,0.1755067528456498,0.11131438625355888,0.1573561995692346
Histogram Entropy,0.15966023504447294,0.15979980886542314,0.15509623389284857,0.16437291163901754,0.13541893876687067,0.6059497743698229,0.2921146285035368,0.4332738791844225
GLCM Contrast,0.20382310045756682,0.20148566768700812,0.19434581953530305,0.20670220749932278,0.09584849020280356,0.7213275874284848,0.3402178969730898,0.5278616261407942
Variance of Gradient,0.018095110838924358,0.01812794839365856,0.01765474355156073,0.01877706168691926,0.00508076975936575,0.17680980536634838,0.10194033594346485,0.15345904662555965
Fourier Transform Sharpness Index,0.032432750903901256,0.032628052720069106,0.03174535242271964,0.03447703014108323,0.010688027983724896,0.24188199910143204,0.1294363577828805,0.19879454911819266
Fourier High Frequency Energy Ratio,0.1337554219969627,0.13348272974014788,0.12885397898741413,0.13774280881988044,0.07836184473764515,0.5050969954018686,0.21751898523335322,0.3455395304326203
Roberts Focus Measure,0.13698842775147713,0.13679824033999172,0.13155317489314855,0.14206078993922067,0.03413650767567242,0.49412815339102956,0.16803230398829,0.3060297977028972
Wavelet W1,0.11961457668900974,0.11925984806888862,0.11794599995329104,0.12013434154279194,0.06690046409369413,0.4801685461987072,0.20101932974217931,0.3249997543736832
Wavelet W2,0.11974533880654309,0.11939143072833795,0.11807925000217291,0.12027009461161223,0.06684483924572451,0.48141527842464416,0.2018043536378986,0.3261754853915745
Wavelet W3,0.11979789324501683,0.11944454799854703,0.11812361081408947,0.12033721023617122,0.06367286360324972,0.48122493017436824,0.2003775062626411,0.3256431262339766
Wavelet Detail Energy (db1),0.11958085194665095,0.11922683927895754,0.11791484889063747,0.12010416498913674,0.06667977721079038,0.48024100071305875,0.2011454715530947,0.32521383860377523
Curvelet Transform Sharpness Index,0.11962558045906209,0.11927114444639847,0.11795697334192404,0.12014754668646613,0.06657938749657713,0.48038035572023,0.20107807414420883,0.3252183646113047
DCT Focus Measure,0.101960919494014,0.10186871771224987,0.09655322079031789,0.10727048339217705,0.034951594048189094,0.4323467556724095,0.17712067625295913,0.2963392247402253
Intensity Skewness Index,0.11883279327276997,0.11480750149731864,0.10149608937700982,0.12028582279136209,0.008434018108580021,0.6765866972630247,0.3130228977532924,0.5134687014996259
Squared Gradient,0.019115372265703458,0.019261043406688487,0.01827955337866702,0.021022918037597534,0.02207567156123527,0.1755415028128597,0.11134014417402875,0.1573798935495161
Gradient Squared Energy,0.019175175207676653,0.019321690058954573,0.01832295786023649,0.021104645792291096,0.02195821226017336,0.17548974356893768,0.1113189599700173,0.1573784193626466
Mean Intensity,0.07384933025988213,0.07076003902188802,0.06044069008459237,0.07641013871379387,0.04379069900367666,0.557829594245772,0.31697384052190936,0.471185509094538
Intensity Variance,0.0784782777907487,0.07865989519935473,0.07654239761478639,0.0808319127936021,0.041515934744584426,0.3595683516888895,0.21295628569612812,0.30837201077941967
Intensity Range Index,0.05371630521778856,0.05382086918465538,0.04984932194866068,0.05897236192332892,0.025602684494457073,0.37187498104976535,0.23122350588482316,0.33510519485141566
Maximal Intensity,0.12561807583364704,0.1259397622127125,0.12378652046427559,0.1286461934682962,0.07045982457933919,0.6180067618663001,0.3301981587432048,0.49446223992929306
Laplacian Energy,0.15465246931286514,0.15399503298699063,0.14777361538259975,0.16094285030674826,0.007465609660521011,0.4964420905604734,0.26273710279070595,0.4094300470606917
Mean Absolute Laplacian,0.14180374097157283,0.14048533930051782,0.132005418055529,0.15032765423846528,0.0864724905190069,0.5446829616247388,0.29453225467448096,0.43199539600620057
Spatial Frequency,0.12602929200635296,0.12577658727968102,0.12104200902037429,0.1305437167613004,0.058008663079379186,0.4826083742891071,0.18362830082228665,0.311008214185205
Modified Tenengrad,0.024657952998095253,0.02475607400641063,0.02427876466907582,0.02576932379993612,0.013237511213657432,0.20443018220281178,0.12155753799429991,0.17891533929104622
Absolute Central Moment 2,0.07841495261097844,0.07859683940089525,0.07647664682377615,0.08077310539497973,0.042023783813009585,0.36019670273560284,0.21346023528863536,0.3089121109654134
Absolute Central Moment 4,0.07838105303783474,0.07863296850920608,0.07515457427650908,0.08220697866855028,0.07222407360867122,0.36111745263315403,0.21754150065862177,0.3042095143659666
Image Power,0.10284290675268595,0.09969613700510997,0.08858797985531854,0.10562655138359278,0.07198130317151225,0.5683738094096734,0.2980467201392339,0.4469644720106823
