operator,family,G_mean,G_ci_low,G_ci_high,probability_rank_1,probability_top3,probability_top5,median_rank
Variance of Gradient,gradient,0.10594226776166514,0.10514999379772687,0.10710988887109513,1.0,1.0,1.0,1.0
Tenengrad,gradient,0.11043145198163079,0.10924183014883901,0.11220408245299615,0.0,1.0,1.0,2.0
Squared Gradient,gradient,0.11057961529436985,0.10938231453532932,0.11236154854576713,0.0,0.575,1.0,3.0
Energy of Gradient,gradient,0.11058018072624198,0.10937901366783036,0.11236683990144267,0.0,0.424,1.0,4.0
Gradient Squared Energy,gradient,0.11061186287635678,0.10940928016419967,0.11240032874782965,0.0,0.0,0.999,5.0
Brenner Gradient,gradient,0.11437545262234051,0.11415463752991321,0.11504299914043686,0.0,0.001,0.001,6.0
Modified Tenengrad,gradient,0.12509210284099923,0.12401637879489025,0.12672157641763113,0.0,0.0,0.0,7.0
Fourier Transform Sharpness Index,frequency,0.13609298403577288,0.13547710287867964,0.1373395277932964,0.0,0.0,0.0,8.0
DCT Focus Measure,frequency,0.19719162200980378,0.19339445875963593,0.20095070519834443,0.0,0.0,0.0,9.0
Roberts Focus Measure,gradient,0.19884097240284776,0.1951587115451262,0.20261855548027458,0.0,0.0,0.0,10.0
Spatial Frequency,gradient,0.20393051583789595,0.20056756316459737,0.20718387441062852,0.0,0.0,0.0,11.0
Wavelet W1,wavelet,0.21660618481201158,0.21485627092948031,0.21850592112099504,0.0,0.0,0.0,12.0
Curvelet Transform Sharpness Index,wavelet_alias,0.21676464110642912,0.2150144439610093,0.21866562647315782,0.0,0.0,0.0,13.0
Wavelet Detail Energy (db1),wavelet,0.21678863005081878,0.21503779377358304,0.21869146283189164,0.0,0.0,0.0,14.0
Wavelet W3,wavelet,0.2169880514585042,0.21524055021676425,0.21888810258809993,0.0,0.0,0.0,15.0
Wavelet W2,wavelet,0.21744737095995648,0.2156964559727815,0.21935065625237887,0.0,0.0,0.0,16.0
Absolute Central Moment 4,statistical,0.2195023749014593,0.21677977008147634,0.22261473845719157,0.0,0.0,0.0,17.0
Normalized Variance,statistical,0.22027303645108348,0.2181919820729812,0.22252080823082646,0.0,0.0,0.0,18.0
Intensity Variance,statistical,0.2241674918575452,0.2223797170336988,0.22612805430301658,0.0,0.0,0.0,19.0
Absolute Central Moment 2,statistical,0.22450016998998706,0.2227109129545444,0.22646164507419445,0.0,0.0,0.0,20.0
Fourier High Frequency Energy Ratio,frequency,0.2337931403143656,0.2288571682664935,0.23870685328565086,0.0,0.0,0.0,21.0
Intensity Range Index,statistical,0.23929646035705837,0.23382704780540314,0.24623604812582559,0.0,0.0,0.0,22.0
Variance of Laplacian,laplacian,0.2991951347153242,0.2918110148029035,0.30707768236719113,0.0,0.0,0.0,24.0
Histogram Entropy,entropy,0.2993723356313716,0.293577436596421,0.3048465535339074,0.0,0.0,0.0,24.0
Sum Modified Laplacian,laplacian,0.3020331367603295,0.29420327910489413,0.31013599754821325,0.0,0.0,0.0,25.0
Image Power,statistical,0.30501766636225136,0.29659523757056216,0.31027598416490076,0.0,0.0,0.0,26.0
Laplacian Energy,laplacian,0.30593659877736296,0.29855907124639863,0.31381306041471657,0.0,0.0,0.0,27.0
Mean Absolute Laplacian,laplacian,0.3097183787311668,0.3010789836948699,0.31917586785431534,0.0,0.0,0.0,28.0
Mean Intensity,statistical,0.32365525960387703,0.3150010378403991,0.32900169598232043,0.0,0.0,0.0,29.0
Intensity Skewness Index,statistical,0.34329529655585844,0.33460607598676956,0.3469051970718985,0.0,0.0,0.0,30.0
Maximal Intensity,statistical,0.34622491722692955,0.34127462998929836,0.35131798682702065,0.0,0.0,0.0,31.0
GLCM Contrast,texture,0.3703947109523132,0.3638641158123683,0.3750542597342625,0.0,0.0,0.0,32.0
