domain,reference_tier,operator,family,n_stacks,exact_agreement,within_one_slice_agreement,mean_absolute_displacement,median_absolute_displacement,p90_absolute_displacement
WBC,REF-C_fixed_disjoint_four,Sum Modified Laplacian,laplacian,25773,0.13863345361424748,0.5042098319947231,1.7315019594148915,1.0,3.0
WBC,REF-C_fixed_disjoint_four,Energy of Gradient,gradient,25773,0.4889225158111202,0.6640282466146743,0.9457183874597447,1.0,2.0
WBC,REF-C_fixed_disjoint_four,Variance of Gradient,gradient,25773,0.45144143095487527,0.6421448803010903,1.0303806308927947,1.0,3.0
WBC,REF-C_fixed_disjoint_four,Fourier High Frequency Energy Ratio,frequency,25773,0.2836301555891825,0.5660187017421332,1.3925425833236333,1.0,3.0
WBC,REF-C_fixed_disjoint_four,Roberts Focus Measure,gradient,25773,0.4543126527761611,0.6352772281069337,1.038451092228301,1.0,3.0
WBC,REF-C_fixed_disjoint_four,Wavelet W1,wavelet,25773,0.43568851123268537,0.6354324292864626,1.061149264734412,1.0,3.0
WBC,REF-C_fixed_disjoint_four,Wavelet W2,wavelet,25773,0.43568851123268537,0.6354324292864626,1.061149264734412,1.0,3.0
WBC,REF-C_fixed_disjoint_four,Wavelet W3,wavelet,25773,0.43568851123268537,0.6354324292864626,1.061149264734412,1.0,3.0
WBC,REF-C_fixed_disjoint_four,Wavelet Detail Energy (db1),wavelet,25773,0.43568851123268537,0.6354324292864626,1.061149264734412,1.0,3.0
WBC,REF-C_fixed_disjoint_four,Curvelet Transform Sharpness Index,wavelet_alias,25773,0.43568851123268537,0.6354324292864626,1.061149264734412,1.0,3.0
WBC,REF-C_fixed_disjoint_four,DCT Focus Measure,frequency,25773,0.29379583284832966,0.8053389205757964,0.9151049547976564,1.0,2.0
WBC,REF-C_fixed_disjoint_four,Intensity Skewness Index,statistical,25773,0.27455088658673804,0.49866138982656266,1.5369960811702168,2.0,3.0
WBC,REF-C_fixed_disjoint_four,Squared Gradient,gradient,25773,0.4889225158111202,0.6640282466146743,0.9457183874597447,1.0,2.0
WBC,REF-C_fixed_disjoint_four,Gradient Squared Energy,gradient,25773,0.4889225158111202,0.6640282466146743,0.9457183874597447,1.0,2.0
WBC,REF-C_fixed_disjoint_four,Mean Intensity,statistical,25773,0.0008536064874093043,0.004268032437046522,5.130562992278741,5.0,7.0
WBC,REF-C_fixed_disjoint_four,Intensity Variance,statistical,25773,0.4344081015015714,0.5539906103286385,1.140457067473713,1.0,3.0
WBC,REF-C_fixed_disjoint_four,Intensity Range Index,statistical,25773,0.19524308384743724,0.5212043611531447,1.7705738563613083,1.0,4.0
WBC,REF-C_fixed_disjoint_four,Maximal Intensity,statistical,25773,0.2239941023551779,0.666395064602491,1.2139836262755597,1.0,2.0
WBC,REF-C_fixed_disjoint_four,Laplacian Energy,laplacian,25773,0.15038994296356653,0.5116982889069956,1.6979785046366351,1.0,3.0
WBC,REF-C_fixed_disjoint_four,Mean Absolute Laplacian,laplacian,25773,0.17444612579055602,0.4995925969037365,1.6978233034571062,2.0,3.0
WBC,REF-C_fixed_disjoint_four,Spatial Frequency,gradient,25773,0.442711364606371,0.6276335700151321,1.0660769021844565,1.0,3.0
WBC,REF-C_fixed_disjoint_four,Modified Tenengrad,gradient,25773,0.48333527334807747,0.6577425988437512,0.9626353160284018,1.0,3.0
WBC,REF-C_fixed_disjoint_four,Absolute Central Moment 2,statistical,25773,0.4344081015015714,0.5539906103286385,1.140457067473713,1.0,3.0
