reference_tier,operator,family,equal_domain_mean_absolute_displacement,rank,rank_shift_vs_REF-A
REF-C_fixed_disjoint_four,Energy of Gradient,gradient,0.4651729114159197,2,-1
REF-C_fixed_disjoint_four,Gradient Squared Energy,gradient,0.4651729114159197,3,-1
REF-C_fixed_disjoint_four,Squared Gradient,gradient,0.4651729114159197,4,-1
REF-C_fixed_disjoint_four,Tenengrad,gradient,0.4651729114159197,5,-1
REF-C_fixed_disjoint_four,Modified Tenengrad,gradient,0.47265220122555524,6,-1
REF-C_fixed_disjoint_four,Variance of Gradient,gradient,0.5054504360791846,7,-1
REF-C_fixed_disjoint_four,Absolute Central Moment 2,statistical,0.5107189613854485,8,-2
REF-C_fixed_disjoint_four,Intensity Variance,statistical,0.5107189613854485,9,-2
REF-C_fixed_disjoint_four,Absolute Central Moment 4,statistical,0.6203961804083106,10,-3
REF-C_fixed_disjoint_four,DCT Focus Measure,frequency,0.9616840822542014,11,-1
REF-C_fixed_disjoint_four,Roberts Focus Measure,gradient,1.0424340710842497,12,3
REF-C_fixed_disjoint_four,Spatial Frequency,gradient,1.209802302286971,13,-2
REF-C_fixed_disjoint_four,Intensity Range Index,statistical,1.366017605280359,14,-2
REF-C_fixed_disjoint_four,Maximal Intensity,statistical,1.4949540416229545,15,-2
REF-C_fixed_disjoint_four,Fourier High Frequency Energy Ratio,frequency,1.5928934299970083,16,-2
REF-C_fixed_disjoint_four,Curvelet Transform Sharpness Index,wavelet_alias,1.6177127910613993,17,-2
REF-C_fixed_disjoint_four,Wavelet Detail Energy (db1),wavelet,1.6177127910613993,18,-2
REF-C_fixed_disjoint_four,Wavelet W1,wavelet,1.6177127910613993,19,-2
REF-C_fixed_disjoint_four,Wavelet W2,wavelet,1.6177127910613993,20,-2
REF-C_fixed_disjoint_four,Wavelet W3,wavelet,1.6177127910613993,21,-2
REF-C_fixed_disjoint_four,Image Power,statistical,1.9118476348100983,22,-2
REF-C_fixed_disjoint_four,Sum Modified Laplacian,laplacian,2.1543158851616293,23,-3
REF-C_fixed_disjoint_four,Laplacian Energy,laplacian,2.3840947106894945,24,-3
REF-C_fixed_disjoint_four,Variance of Laplacian,laplacian,2.3840947106894945,25,-3
REF-C_fixed_disjoint_four,Mean Absolute Laplacian,laplacian,2.6541055583902136,26,-3
REF-C_fixed_disjoint_four,Mean Intensity,statistical,4.296343420265518,27,-4
REF-C_fixed_disjoint_four,Intensity Skewness Index,statistical,4.96508924550302,28,-4
