domain,comparison,n_stacks,exact_agreement,within_one_slice_agreement,mean_absolute_displacement,median_absolute_displacement,p90_absolute_displacement,max_absolute_displacement
BMA,REF-B_corrected_ten_vs_REF-C_disjoint_four,38,0.9473684210526315,1.0,0.05263157894736842,0.0,0.0,1
BMA,REF-A_full_vs_REF-C_disjoint_four,38,0.9473684210526315,1.0,0.05263157894736842,0.0,0.0,1
BMA,REF-A_LOO_tenengrad_vs_REF-A_full,38,1.0,1.0,0.0,0.0,0.0,0
BMA,REF-A_LOO_brenner_gradient_vs_REF-A_full,38,1.0,1.0,0.0,0.0,0.0,0
BMA,REF-A_LOO_variance_of_laplacian_vs_REF-A_full,38,1.0,1.0,0.0,0.0,0.0,0
BMA,REF-A_LOO_sum_modified_laplacian_vs_REF-A_full,38,1.0,1.0,0.0,0.0,0.0,0
BMA,REF-A_LOO_normalized_variance_vs_REF-A_full,38,1.0,1.0,0.0,0.0,0.0,0
BMA,REF-A_LOO_energy_of_gradient_vs_REF-A_full,38,1.0,1.0,0.0,0.0,0.0,0
BMA,REF-A_LOO_histogram_entropy_vs_REF-A_full,38,1.0,1.0,0.0,0.0,0.0,0
BMA,REF-A_LOO_glcm_contrast_vs_REF-A_full,38,1.0,1.0,0.0,0.0,0.0,0
BMA,REF-A_LOO_variance_of_gradient_vs_REF-A_full,38,1.0,1.0,0.0,0.0,0.0,0
BMA,REF-A_LOO_fourier_transform_sharpness_index_vs_REF-A_full,38,1.0,1.0,0.0,0.0,0.0,0
TBF,REF-A_full_vs_REF-B_corrected_ten,182,1.0,1.0,0.0,0.0,0.0,0
TBF,REF-B_corrected_ten_vs_REF-C_disjoint_four,182,0.9175824175824175,1.0,0.08241758241758242,0.0,0.0,1
TBF,REF-A_full_vs_REF-C_disjoint_four,182,0.9175824175824175,1.0,0.08241758241758242,0.0,0.0,1
TBF,REF-A_LOO_tenengrad_vs_REF-A_full,182,0.9615384615384616,0.978021978021978,0.17032967032967034,0.0,0.0,7
TBF,REF-A_LOO_brenner_gradient_vs_REF-A_full,182,0.9615384615384616,0.9725274725274725,0.2087912087912088,0.0,0.0,8
TBF,REF-A_LOO_variance_of_laplacian_vs_REF-A_full,182,1.0,1.0,0.0,0.0,0.0,0
TBF,REF-A_LOO_sum_modified_laplacian_vs_REF-A_full,182,1.0,1.0,0.0,0.0,0.0,0
TBF,REF-A_LOO_normalized_variance_vs_REF-A_full,182,0.989010989010989,0.9945054945054945,0.04945054945054945,0.0,0.0,8
TBF,REF-A_LOO_energy_of_gradient_vs_REF-A_full,182,0.9615384615384616,0.978021978021978,0.17032967032967034,0.0,0.0,7
TBF,REF-A_LOO_histogram_entropy_vs_REF-A_full,182,1.0,1.0,0.0,0.0,0.0,0
TBF,REF-A_LOO_glcm_contrast_vs_REF-A_full,182,1.0,1.0,0.0,0.0,0.0,0
TBF,REF-A_LOO_variance_of_gradient_vs_REF-A_full,182,0.967032967032967,0.989010989010989,0.1043956043956044,0.0,0.0,8
TBF,REF-A_LOO_fourier_transform_sharpness_index_vs_REF-A_full,182,0.9560439560439561,0.978021978021978,0.1813186813186813,0.0,0.0,8
