domain,dataset,licence,source_url,access_date,redistribution_decision
WBC,A large multi-focus dataset for white blood cell classification,CC0,https://springernature.figshare.com/articles/dataset/A_large_multi-focus_dataset_for_white_blood_cell_classification/26781052,2026-08-26,representative derived figures permitted with attribution
PBS,High Magnification Z-Stacks from Blood Films,CC0,https://rdr.ucl.ac.uk/articles/dataset/High_Magnification_Z-Stacks_from_Blood_Films/13402301,2026-08-26,representative derived figures permitted with attribution
BMA,High Magnification Z-Stacks from Blood Films,CC0,https://rdr.ucl.ac.uk/articles/dataset/High_Magnification_Z-Stacks_from_Blood_Films/13402301,2026-08-26,representative derived figures permitted with attribution
TBF,High Magnification Z-Stacks from Blood Films,CC0,https://rdr.ucl.ac.uk/articles/dataset/High_Magnification_Z-Stacks_from_Blood_Films/13402301,2026-08-26,representative derived figures permitted with attribution
TBI,TBIMAGE_DB_FOCUS.V1,not reported,https://www.tbimages.ufam.edu.br/2016-11-10-14-29-33/tbimage-db-focus-v1,2026-08-26,do not redistribute raw imagery in submission package until licence is confirmed
