domain,operator,family,criterion,raw_value,normalized_value,unit,sample_count,reference_tier,runtime_protocol,candidate_pool
WBC,Sum Modified Laplacian,laplacian,execution_time_per_slice,0.000136655,0.012340373617080973,seconds/slice,25773,not_reference_dependent,r07b_corrected_native_kernel,frozen_32
WBC,Sum Modified Laplacian,laplacian,steep_slope_width,8.395957009273271,0.9761048768482116,slices,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Sum Modified Laplacian,laplacian,curvature_at_peak,0.3489472701844192,0.0034719979023436413,dimensionless,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Sum Modified Laplacian,laplacian,rrmse_under_additive_noise,0.09273634143579212,0.09933690164692277,dimensionless,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Normalized Variance,statistical,absolute_peak_localization_error,2.265161215225236,0.45791309863621954,slices,25773,REF-B_fixed_ten_diagnostic,not_applicable,frozen_32
WBC,Normalized Variance,statistical,range_around_global_maximum,2.5517401932254686,0.2891492263641373,slices,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Normalized Variance,statistical,false_maxima_count,0.09878555077018586,0.04246727024034392,dimensionless,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Normalized Variance,statistical,fwhm,5.454079851006868,0.23776041447639565,slices,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Normalized Variance,statistical,noise_level,0.01020539346063386,0.0,dimensionless,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Normalized Variance,statistical,steep_to_gradual_slope_ratio,0.23940924995460267,0.6009998856989517,dimensionless,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Normalized Variance,statistical,execution_time_per_slice,6.6886e-05,0.00513308469878999,seconds/slice,25773,not_reference_dependent,r07b_corrected_native_kernel,frozen_32
WBC,Normalized Variance,statistical,steep_slope_width,8.450238621813526,0.9848217679275731,slices,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Normalized Variance,statistical,curvature_at_peak,0.053284812639325,0.5316211598251165,dimensionless,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Normalized Variance,statistical,rrmse_under_additive_noise,0.3396867939693199,0.37479040200218827,dimensionless,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Energy of Gradient,gradient,absolute_peak_localization_error,0.024366585186047413,0.0,slices,25773,REF-B_fixed_ten_diagnostic,not_applicable,frozen_32
WBC,Energy of Gradient,gradient,range_around_global_maximum,1.3655763783804757,0.013015870148404428,slices,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Energy of Gradient,gradient,false_maxima_count,0.3496294571838746,0.4635576108903797,dimensionless,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Energy of Gradient,gradient,fwhm,4.553369805610522,0.04251579097874631,slices,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Energy of Gradient,gradient,noise_level,0.04908831987538122,0.11048968781309357,dimensionless,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Energy of Gradient,gradient,steep_to_gradual_slope_ratio,0.7121105959655512,0.06807178859993661,dimensionless,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Energy of Gradient,gradient,execution_time_per_slice,7.9121e-05,0.006396986717097408,seconds/slice,25773,not_reference_dependent,r07b_corrected_native_kernel,frozen_32
WBC,Energy of Gradient,gradient,steep_slope_width,7.736817599813759,0.8702560236271986,slices,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Energy of Gradient,gradient,curvature_at_peak,0.2955417024122474,0.02067212363025103,dimensionless,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Energy of Gradient,gradient,rrmse_under_additive_noise,0.10492427442965269,0.11293156717926686,dimensionless,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Histogram Entropy,entropy,absolute_peak_localization_error,1.9917743374849648,0.4020456707897241,slices,25773,REF-B_fixed_ten_diagnostic,not_applicable,frozen_32
WBC,Histogram Entropy,entropy,range_around_global_maximum,1.9856438908935707,0.1573646701773085,slices,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Histogram Entropy,entropy,false_maxima_count,0.575641174872929,0.842962287500814,dimensionless,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Histogram Entropy,entropy,fwhm,6.334419741590036,0.4285894513738783,slices,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Histogram Entropy,entropy,noise_level,0.08974214002162732,0.22601154561916506,dimensionless,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Histogram Entropy,entropy,steep_to_gradual_slope_ratio,0.5000931589177301,0.18250270384419823,dimensionless,25773,not_reference_dependent,not_applicable,frozen_32
WBC,Histogram Entropy,entropy,execution_time_per_slice,0.000168245,0.015603689085681815,seconds/slice,25773,not_reference_dependent,r07b_corrected_native_kernel,frozen_32
