domain,n_stacks,mean_rrmse,median_rrmse,sd_rrmse
WBC,200,0.4457058662292399,0.4205860187457631,0.15578225577487745
TBI,30,0.6164849953997145,0.5623361645000429,0.2516759457608861
PBS,77,0.12429621307079237,0.09548239303072015,0.09321115682488466
BMA,38,0.4414046428303564,0.47919756092107096,0.24737467539567418
TBF,182,0.87679857979715,0.8680165516651424,0.25432970248187525
