domain,stack_index,rrmse
WBC,0,0.6019090617400897
WBC,1,0.6986294199928371
WBC,2,0.1897644442029616
WBC,3,0.5419847333104534
WBC,4,0.4636866672329596
WBC,5,0.7531924947519113
WBC,6,0.33959657944677984
WBC,7,0.49856662776425387
WBC,8,0.4373684154555269
WBC,9,0.5472380472046401
WBC,10,0.34120404947341715
WBC,11,0.3735025087497487
WBC,12,0.37010458554468945
WBC,13,0.5858259559615789
WBC,14,0.6090912948395859
WBC,15,0.5015357003851937
WBC,16,0.31334100085647815
WBC,17,0.38660761780073627
WBC,18,0.4509725641845108
WBC,19,0.33070584582208495
WBC,20,0.43666411163082547
WBC,21,0.35972060660648286
WBC,22,0.4117311720529091
WBC,23,0.6530676796515058
WBC,24,0.3985245115128419
WBC,25,0.384554841683676
WBC,26,0.986747892696253
WBC,27,0.2316734380346587
WBC,28,0.3462152975267202
WBC,29,0.41013207570632837
WBC,30,0.49870396267137457
WBC,31,0.21018136609170446
WBC,32,0.6463777157978357
WBC,33,0.804994552460318
WBC,34,0.7299040764451908
WBC,35,0.44877744227203814
WBC,36,0.49172329776754015
WBC,37,0.2948664796511656
WBC,38,0.4426328286976125
WBC,39,0.35839206026117554
WBC,40,0.3175537998670851
WBC,41,0.38078868458923126
WBC,42,0.38077206726357626
WBC,43,0.4537533035549008
WBC,44,0.7227869376083208
WBC,45,0.30893078141746555
WBC,46,0.4334904544187841
WBC,47,0.43304950352724136
WBC,48,0.2782409143982388
WBC,49,0.33866991588396594
WBC,50,0.5122267714456188
WBC,51,0.6514630607466654
WBC,52,0.24695874116283636
WBC,53,0.41012000984006497
WBC,54,0.4389115848953989
WBC,55,0.5027483469744428
WBC,56,0.5558469025130764
WBC,57,0.22026711901643423
WBC,58,0.36855285708188495
WBC,59,0.8285910251195342
WBC,60,0.6088537335497952
WBC,61,0.4679659239601879
WBC,62,0.4045804259163855
WBC,63,0.46365153373249013
WBC,64,0.3269189854287301
WBC,65,0.2569055403747839
WBC,66,0.4622482772705188
WBC,67,0.7182750211301011
WBC,68,0.4827362846092909
WBC,69,0.48336171482807194
WBC,70,0.7503986860292179
WBC,71,0.48093590513017065
WBC,72,0.2904447948655053
WBC,73,0.42219646902795155
WBC,74,0.2566561904795427
WBC,75,0.4322763108326893
WBC,76,0.4236079523499438
WBC,77,0.4093066013217395
WBC,78,0.47997916269290203
WBC,79,0.3366340318366004
WBC,80,0.5512608885892388
WBC,81,0.48799423952463933
WBC,82,0.458471692576321
WBC,83,0.32816213265110833
WBC,84,0.25196519116957455
WBC,85,0.34492939972174697
WBC,86,0.3336539403411049
WBC,87,0.662227264666405
WBC,88,0.606345698572617
WBC,89,0.5152097520680651
WBC,90,0.3952226268015925
WBC,91,0.6710557823806925
WBC,92,0.6865137245427996
WBC,93,0.26661803693665853
WBC,94,0.32287708889274813
WBC,95,0.4013497635751084
WBC,96,0.27748269617399135
WBC,97,0.38130293844039415
WBC,98,0.4257332601006771
WBC,99,0.340276703128962
WBC,100,0.2307225472698372
WBC,101,0.4189755684635747
WBC,102,0.2199085724685817
WBC,103,0.1849344079157747
WBC,104,0.679510178235106
WBC,105,0.5555355484645537
WBC,106,0.37378547063454975
WBC,107,0.5952557463350225
WBC,108,0.44024539616012204
WBC,109,0.8224137699913776
WBC,110,0.34223895651508623
WBC,111,0.3613555972967679
WBC,112,0.35063432255837323
WBC,113,0.526973613102424
WBC,114,0.6215304298871439
WBC,115,0.226520712027108
WBC,116,0.30194796003368685
WBC,117,0.4968420114092495
WBC,118,0.5929016752022552
WBC,119,0.41103502171866985
WBC,120,0.45083052675394164
WBC,121,0.28889517093465056
WBC,122,0.33421881966507405
WBC,123,0.0440445693112442
WBC,124,0.5073765668333908
WBC,125,0.37988809933293954
WBC,126,0.4944856904168931
WBC,127,0.5263618827457803
WBC,128,0.4071333060949946
WBC,129,0.3711187000138221
WBC,130,0.4683395147781366
WBC,131,0.813886148742663
WBC,132,0.4767607500657955
WBC,133,0.5730703620991677
WBC,134,0.5473633566488366
WBC,135,0.4078773455885058
WBC,136,0.30612082277172153
WBC,137,0.3896899841636088
WBC,138,0.31188195942952973
WBC,139,0.3843909805123702
WBC,140,0.30272950850934893
WBC,141,0.3092639324368948
WBC,142,0.4620677552601985
WBC,143,0.4572607939166118
WBC,144,0.3451833105232021
WBC,145,0.5333703115547983
WBC,146,0.5478593766084179
WBC,147,0.40339463805237114
WBC,148,0.46156715305255935
WBC,149,0.41528980183072184
WBC,150,0.3467168241492801
WBC,151,0.3327184916093311
WBC,152,0.22462607265004936
WBC,153,0.8727186326449541
WBC,154,0.46061223356483016
WBC,155,0.4053830444837771
WBC,156,0.277804933291813
WBC,157,0.33219942515168743
WBC,158,0.8839138575598932
WBC,159,0.5343071054023378
WBC,160,0.5620060241347232
WBC,161,0.20652099370865093
WBC,162,0.5454109086818709
WBC,163,0.3095737651488919
WBC,164,0.7301410170221743
WBC,165,0.492766484370421
WBC,166,0.641655865723376
WBC,167,0.4006531428004162
WBC,168,0.3174137899126247
WBC,169,0.4470428091642018
WBC,170,0.3708418518461337
WBC,171,0.15653955540739548
WBC,172,0.6910986865695368
WBC,173,0.30353067414182205
WBC,174,0.3329198289094574
WBC,175,0.3033425202975242
WBC,176,0.2864790646372518
WBC,177,0.30658266805323164
WBC,178,0.49309526197002956
WBC,179,0.3982178793259346
WBC,180,0.2899707309341358
WBC,181,0.3207523818397515
WBC,182,0.31816700882552684
WBC,183,0.399407915295203
WBC,184,0.3790902397578985
WBC,185,0.4573517840861348
WBC,186,0.22454696294262022
WBC,187,0.5878915470588346
WBC,188,0.5053358078916086
WBC,189,0.4355203769659033
WBC,190,0.31799402392316534
WBC,191,0.3123374266660593
WBC,192,0.52999827605016
WBC,193,0.7134448560020512
WBC,194,0.5352945301676361
WBC,195,0.3961255816531138
WBC,196,0.7193713624593874
WBC,197,0.5311585554133994
WBC,198,0.6166913076279055
WBC,199,0.7781783421319828
TBI,0,0.6143572118806072
TBI,1,1.0795078499759487
TBI,2,0.40289193930943606
TBI,3,0.8035405486281697
TBI,4,0.5356836220973852
TBI,5,0.5597042961350235
TBI,6,0.2673790314791644
TBI,7,0.4448042208340894
TBI,8,0.2521810145541881
TBI,9,0.4075618144055984
TBI,10,0.4764679057555232
TBI,11,0.16431181171318984
TBI,12,0.5178652556764557
TBI,13,0.5069735487984797
TBI,14,0.6127973612681656
TBI,15,0.4906602970742041
TBI,16,0.7254213856652294
TBI,17,0.5649680328650624
TBI,18,0.7080018491821277
TBI,19,0.5359798535193525
TBI,20,0.8742197088682904
TBI,21,1.0317499128331564
TBI,22,0.6505738377682843
TBI,23,0.8224517870729047
TBI,24,1.0454203493911542
TBI,25,0.5678164941883604
TBI,26,0.38359590590073084
TBI,27,0.7468939827245226
TBI,28,0.4871158177608985
TBI,29,1.2136532146657328
PBS,0,0.3478047573743286
PBS,1,0.09548239303072015
PBS,2,0.08131477137686374
PBS,3,0.2048401163918764
PBS,4,0.17768837037962143
PBS,5,0.0784073523468396
PBS,6,0.10925507763521844
PBS,7,0.11338491652462342
PBS,8,0.3003045872062486
PBS,9,0.19911090058598732
PBS,10,0.06724749375027562
PBS,11,0.28710263048987067
PBS,12,0.1873547190156086
PBS,13,0.15363393099562325
PBS,14,0.5770800743595466
PBS,15,0.194462418719957
PBS,16,0.17629963443205737
PBS,17,0.22438320335624282
PBS,18,0.1934438240178308
PBS,19,0.09084583288499846
PBS,20,0.09090560038678445
PBS,21,0.19359185749146632
PBS,22,0.16835434043409733
PBS,23,0.05201313726673364
PBS,24,0.10608415705666696
PBS,25,0.20227584216646924
PBS,26,0.03372516277637326
PBS,27,0.06081680500690023
PBS,28,0.12681265291406907
PBS,29,0.11928029975639716
PBS,30,0.0716446279838924
PBS,31,0.0389351194603509
PBS,32,0.09112965346453553
PBS,33,0.06793941420318914
PBS,34,0.18651869836870255
PBS,35,0.043084860564936475
PBS,36,0.06799063956162142
PBS,37,0.08872363557408641
PBS,38,0.11112105570300085
PBS,39,0.04092964571888846
PBS,40,0.05228195074142683
PBS,41,0.08622197675264429
PBS,42,0.13066379734106284
PBS,43,0.022630162891405826
PBS,44,0.06744247445657078
PBS,45,0.07131938661927348
PBS,46,0.14084663602783595
PBS,47,0.03949868418738697
PBS,48,0.035981573106811084
PBS,49,0.15135299179046469
PBS,50,0.12452631552658572
PBS,51,0.03134501787455276
PBS,52,0.19943680837204472
PBS,53,0.09802748507107883
PBS,54,0.1593754846745981
PBS,55,0.054329840097922785
PBS,56,0.07889795725300439
PBS,57,0.0980873101818242
PBS,58,0.048239771463506595
PBS,59,0.09986940790531511
PBS,60,0.12774418076962574
PBS,61,0.04217126389522914
PBS,62,0.07443880878245024
PBS,63,0.07886037547123038
PBS,64,0.08747930817684688
PBS,65,0.08447868815230962
PBS,66,0.23535224695912596
PBS,67,0.4429649477776306
PBS,68,0.02221630670566189
PBS,69,0.07181528247586898
PBS,70,0.05175571841289014
PBS,71,0.04157503803056331
PBS,72,0.1417500213019917
PBS,73,0.09401076172330022
PBS,74,0.1730180337483334
PBS,75,0.09634194004708281
PBS,76,0.09313624095205647
BMA,0,0.5745011333648549
BMA,1,0.5818444808166241
BMA,2,0.20291310201527127
BMA,3,0.3340451280685675
BMA,4,0.4845962674458231
BMA,5,0.18314934269888472
BMA,6,0.08240067149602923
BMA,7,0.1342132804987095
BMA,8,0.011875582393898064
BMA,9,0.02737576541998135
BMA,10,0.03563000812732925
BMA,11,1.103096892685491
BMA,12,0.2536689709413106
BMA,13,0.534817847451711
BMA,14,0.2866528579832848
BMA,15,0.3874926413611055
BMA,16,0.13536071636229827
BMA,17,0.4967741522855656
BMA,18,0.4296933669478188
BMA,19,0.5590235823940907
BMA,20,1.0000346705426464
BMA,21,0.5867655955085418
BMA,22,0.501981485198068
BMA,23,0.5070895889676101
BMA,24,0.5973388893685619
BMA,25,0.7433158141623862
BMA,26,0.7272305361614056
BMA,27,0.7800128676937765
BMA,28,0.4737988543963188
BMA,29,0.4493072296714371
BMA,30,0.32252755983288034
BMA,31,0.5090621600590877
BMA,32,0.36475800634624544
BMA,33,0.30028999410210216
BMA,34,0.5489051768858592
BMA,35,0.462229960595587
BMA,36,0.5160896238530038
BMA,37,0.5435126234493771
TBF,0,1.3197716731817555
TBF,1,1.2488280785005503
TBF,2,0.9111652145603792
TBF,3,1.2561901061178775
TBF,4,0.9578624956061772
TBF,5,1.1555560412889596
TBF,6,1.2699171215689675
TBF,7,0.9118832403808486
TBF,8,0.9527545113481181
TBF,9,1.3241748479893833
TBF,10,0.9948050417975489
TBF,11,1.1243870375031224
TBF,12,1.1213538318758052
TBF,13,1.184320479473591
TBF,14,0.8914420973086722
TBF,15,1.0086128427310697
TBF,16,1.0056221735800022
TBF,17,1.200504115258393
TBF,18,1.203326586483801
TBF,19,1.2847502628153684
TBF,20,1.143283779260268
TBF,21,1.1690344992930402
TBF,22,0.7841427302870636
TBF,23,0.9597206965679289
TBF,24,1.3248047131384226
TBF,25,0.8078818762952653
TBF,26,1.0491386180883733
TBF,27,0.7206254873862971
TBF,28,0.5462891818911643
TBF,29,1.3812314520761049
TBF,30,0.2854198666028037
TBF,31,1.4223783356987216
TBF,32,0.39235576414289014
TBF,33,1.2719741384831873
TBF,34,1.3227710077117227
TBF,35,0.6229810581903695
TBF,36,1.1721812061222034
TBF,37,0.38369380965487676
TBF,38,1.43997589102293
TBF,39,0.8503789032470748
TBF,40,0.8495626056068185
TBF,41,1.4043681850039802
TBF,42,0.8592475501632577
TBF,43,1.2058539535936281
TBF,44,0.9460783219369793
TBF,45,1.2520530458186854
TBF,46,0.7117278528499364
TBF,47,1.342962897588978
TBF,48,0.7894726744489503
TBF,49,1.2521587884020038
TBF,50,0.7553651896934256
TBF,51,1.1229550187584643
TBF,52,0.5837003019313837
TBF,53,0.582487913140509
TBF,54,0.5825708032075911
TBF,55,1.331876678827862
TBF,56,0.796266737109936
TBF,57,1.279378355550362
TBF,58,1.0424212914083284
TBF,59,1.0423578724415157
TBF,60,1.2648207053491858
TBF,61,0.40430711282705284
TBF,62,1.1897514572175816
TBF,63,1.0854787180291219
TBF,64,1.0908517706230194
TBF,65,0.49582866670470677
TBF,66,0.7793018450330608
TBF,67,0.6092210646521266
TBF,68,0.7652776931429479
TBF,69,0.6714323363671393
TBF,70,1.1012645191865098
TBF,71,0.5968230985292472
TBF,72,0.8740682258421284
TBF,73,0.3530585403646594
TBF,74,0.5122784944700081
TBF,75,0.8084044879916195
TBF,76,0.6140841660430769
TBF,77,0.7602608099706976
TBF,78,0.7579471250576927
TBF,79,1.019355097747059
TBF,80,0.6369509860262867
TBF,81,0.8501597237762138
TBF,82,0.848048436214203
TBF,83,1.0744021820712009
TBF,84,1.06899567768282
TBF,85,1.0657635856024203
TBF,86,1.0626275479489216
TBF,87,0.9088535306281953
TBF,88,1.1536452726167243
TBF,89,0.8089929809980596
TBF,90,0.8077271476348389
TBF,91,0.9067434151810975
TBF,92,0.905433565255694
TBF,93,0.8578309459524481
TBF,94,0.8118544225810316
TBF,95,0.8903671317378355
TBF,96,0.8879798052505246
TBF,97,0.5609958765048187
TBF,98,0.5599411576984065
TBF,99,0.642357644232624
TBF,100,1.1463144085334727
TBF,101,0.6306844383475241
TBF,102,0.733432039734169
TBF,103,0.8124162475268858
TBF,104,0.8107560601522313
TBF,105,0.9086403188453869
TBF,106,1.0068763025978498
TBF,107,0.4461101221037725
TBF,108,0.44706208710474815
TBF,109,0.5425474435230404
TBF,110,0.6415653863057078
TBF,111,0.8619648774881563
TBF,112,1.1330362449337787
TBF,113,1.0010757847122747
TBF,114,0.9835964628103832
TBF,115,0.9720079452329425
TBF,116,0.9712529506572792
TBF,117,0.859821465379799
TBF,118,0.6742183090185485
TBF,119,0.7915300213257801
TBF,120,0.8755062485007676
TBF,121,0.8761075499927183
TBF,122,0.717737358522421
TBF,123,0.7270411747100484
TBF,124,0.5185157872777736
TBF,125,0.9599558763187387
TBF,126,0.5698362588396908
TBF,127,0.7622523439839635
TBF,128,0.7004651782054823
TBF,129,1.1227074832606059
TBF,130,1.0656643734690576
TBF,131,0.7036153507255178
TBF,132,1.0416193391548165
TBF,133,0.5152188179984621
TBF,134,0.7829646481500118
TBF,135,1.1465921757937252
TBF,136,0.44929292420761524
TBF,137,0.8536426162931245
TBF,138,0.6299367474473149
TBF,139,0.9503995827752753
TBF,140,0.7994151680407837
TBF,141,0.7368348324057471
TBF,142,0.7386658386454993
TBF,143,0.5866999474987232
TBF,144,0.8859181258776683
TBF,145,0.45899422499925857
TBF,146,0.9033700183659229
TBF,147,0.901174835628518
TBF,148,0.6466742360647151
TBF,149,0.918195423125447
TBF,150,1.0042064484807378
TBF,151,0.9063353269458809
TBF,152,0.9458546022561474
TBF,153,0.7596567162810878
TBF,154,0.7864426425545012
TBF,155,0.8080229938680575
TBF,156,0.8428141797359524
TBF,157,0.9094825414083076
TBF,158,0.9941607172542578
TBF,159,1.2124497736779638
TBF,160,0.6865859688751669
TBF,161,0.6879955263605864
TBF,162,1.1536662704867453
TBF,163,0.7077443845147393
TBF,164,0.7781698717835119
TBF,165,0.25429797365805473
TBF,166,0.5456209926314727
TBF,167,0.6555965088449097
TBF,168,1.0592095718764454
TBF,169,0.9328962940868573
TBF,170,0.9667091806147492
TBF,171,0.6903371098660841
TBF,172,0.7289571828143175
TBF,173,0.877746229159682
TBF,174,0.8084483084258162
TBF,175,0.5191592120659516
TBF,176,1.0179457247442807
TBF,177,0.5180351196014696
TBF,178,0.6950745553786125
TBF,179,0.763258432513199
TBF,180,0.5315052085120209
TBF,181,0.7351887284339308
