domain,stack_index,stack_id,slice_count,submitted_peak,corrected_peak,absolute_peak_shift,submitted_constant,corrected_constant
WBC,24357,WBC_24357,10,6,6,0,False,False
WBC,24358,WBC_24358,10,6,6,0,False,False
WBC,24359,WBC_24359,10,7,7,0,False,False
WBC,24360,WBC_24360,10,6,6,0,False,False
WBC,24361,WBC_24361,10,5,5,0,False,False
WBC,24362,WBC_24362,10,6,6,0,False,False
WBC,24363,WBC_24363,10,6,6,0,False,False
WBC,24364,WBC_24364,10,6,6,0,False,False
WBC,24365,WBC_24365,10,6,6,0,False,False
WBC,24366,WBC_24366,10,6,6,0,False,False
WBC,24367,WBC_24367,10,6,6,0,False,False
WBC,24368,WBC_24368,10,5,5,0,False,False
WBC,24369,WBC_24369,10,6,6,0,False,False
WBC,24370,WBC_24370,10,5,5,0,False,False
WBC,24371,WBC_24371,10,6,6,0,False,False
WBC,24372,WBC_24372,10,6,6,0,False,False
WBC,24373,WBC_24373,10,6,6,0,False,False
WBC,24374,WBC_24374,10,5,5,0,False,False
WBC,24375,WBC_24375,10,5,5,0,False,False
WBC,24376,WBC_24376,10,8,8,0,False,False
WBC,24377,WBC_24377,10,7,7,0,False,False
WBC,24378,WBC_24378,10,5,5,0,False,False
WBC,24379,WBC_24379,10,6,6,0,False,False
WBC,24380,WBC_24380,10,7,7,0,False,False
WBC,24381,WBC_24381,10,6,6,0,False,False
WBC,24382,WBC_24382,10,6,6,0,False,False
WBC,24383,WBC_24383,10,5,5,0,False,False
WBC,24384,WBC_24384,10,7,7,0,False,False
WBC,24385,WBC_24385,10,5,5,0,False,False
WBC,24386,WBC_24386,10,6,6,0,False,False
WBC,24387,WBC_24387,10,6,6,0,False,False
WBC,24388,WBC_24388,10,6,6,0,False,False
WBC,24389,WBC_24389,10,7,7,0,False,False
WBC,24390,WBC_24390,10,6,6,0,False,False
WBC,24391,WBC_24391,10,8,8,0,False,False
WBC,24392,WBC_24392,10,7,7,0,False,False
WBC,24393,WBC_24393,10,6,6,0,False,False
WBC,24394,WBC_24394,10,7,7,0,False,False
WBC,24395,WBC_24395,10,6,6,0,False,False
WBC,24396,WBC_24396,10,6,6,0,False,False
WBC,24397,WBC_24397,10,5,5,0,False,False
WBC,24398,WBC_24398,10,6,6,0,False,False
WBC,24399,WBC_24399,10,7,7,0,False,False
WBC,24400,WBC_24400,10,7,7,0,False,False
WBC,24401,WBC_24401,10,8,8,0,False,False
WBC,24402,WBC_24402,10,8,8,0,False,False
WBC,24403,WBC_24403,10,6,6,0,False,False
WBC,24404,WBC_24404,10,7,7,0,False,False
WBC,24405,WBC_24405,10,7,7,0,False,False
WBC,24406,WBC_24406,10,5,5,0,False,False
WBC,24407,WBC_24407,10,8,8,0,False,False
WBC,24408,WBC_24408,10,6,6,0,False,False
WBC,24409,WBC_24409,10,8,8,0,False,False
WBC,24410,WBC_24410,10,5,5,0,False,False
WBC,24411,WBC_24411,10,6,6,0,False,False
WBC,24412,WBC_24412,10,7,7,0,False,False
WBC,24413,WBC_24413,10,6,6,0,False,False
WBC,24414,WBC_24414,10,7,7,0,False,False
WBC,24415,WBC_24415,10,5,5,0,False,False
WBC,24416,WBC_24416,10,7,7,0,False,False
WBC,24417,WBC_24417,10,6,6,0,False,False
WBC,24418,WBC_24418,10,6,6,0,False,False
WBC,24419,WBC_24419,10,8,8,0,False,False
WBC,24420,WBC_24420,10,6,6,0,False,False
WBC,24421,WBC_24421,10,6,6,0,False,False
WBC,24422,WBC_24422,10,5,5,0,False,False
WBC,24423,WBC_24423,10,5,5,0,False,False
WBC,24424,WBC_24424,10,7,7,0,False,False
WBC,24425,WBC_24425,10,6,6,0,False,False
WBC,24426,WBC_24426,10,4,4,0,False,False
WBC,24427,WBC_24427,10,7,7,0,False,False
WBC,24428,WBC_24428,10,6,6,0,False,False
WBC,24429,WBC_24429,10,7,7,0,False,False
WBC,24430,WBC_24430,10,5,5,0,False,False
WBC,24431,WBC_24431,10,5,5,0,False,False
WBC,24432,WBC_24432,10,5,5,0,False,False
WBC,24433,WBC_24433,10,6,6,0,False,False
WBC,24434,WBC_24434,10,6,6,0,False,False
WBC,24435,WBC_24435,10,6,6,0,False,False
WBC,24436,WBC_24436,10,6,6,0,False,False
WBC,24437,WBC_24437,10,6,6,0,False,False
WBC,24438,WBC_24438,10,6,6,0,False,False
WBC,24439,WBC_24439,10,6,6,0,False,False
WBC,24440,WBC_24440,10,5,5,0,False,False
WBC,24441,WBC_24441,10,6,6,0,False,False
WBC,24442,WBC_24442,10,7,7,0,False,False
WBC,24443,WBC_24443,10,6,6,0,False,False
WBC,24444,WBC_24444,10,7,7,0,False,False
WBC,24445,WBC_24445,10,5,5,0,False,False
WBC,24446,WBC_24446,10,7,7,0,False,False
WBC,24447,WBC_24447,10,6,6,0,False,False
WBC,24448,WBC_24448,10,6,6,0,False,False
WBC,24449,WBC_24449,10,7,7,0,False,False
WBC,24450,WBC_24450,10,7,7,0,False,False
