dataset,n_stacks,n_slices_total,fraction_bg_lt_gse,fraction_bg_le_gse,fraction_bg_gt_gse,median_stack_fraction_bg_lt_gse,p10_stack_fraction_bg_lt_gse,p90_stack_fraction_bg_lt_gse
WBC,25773,257730,0.44233500174601326,0.6226865324176464,0.3773134675823536,0.4,0.2,0.7
TBI,30,300,0.09,0.2833333333333333,0.7166666666666667,0.0,0.0,0.3
PBS,77,1035,0.5835748792270531,0.7130434782608696,0.28695652173913044,0.6,0.2888888888888889,0.8
BMA,38,532,0.6785714285714286,0.8214285714285714,0.17857142857142858,0.75,0.4571428571428572,0.8571428571428571
TBF,182,2548,0.4937205651491366,0.6220565149136578,0.37794348508634223,0.5,0.14285714285714285,0.7857142857142857
