dataset,n_stacks,mean_curve_mae,median_curve_mae,mean_curve_rmse,mean_pearson_r,median_pearson_r,mean_spearman_r,median_spearman_r
WBC,25773,0.1279460398788008,0.12581515015859068,0.17012347838268402,0.9403916132514877,0.9449749341868003,0.9599359912711095,0.9636363636363635
TBI,30,0.073012262937805,0.06769509225955857,0.10045095107743622,0.9527161107329206,0.965239407493494,0.8144142759330548,0.9151515151515152
PBS,77,0.11298665632860748,0.09900232386238766,0.15214655698309099,0.9293759764534169,0.9636061414033419,0.935281385281385,0.9857142857142854
BMA,38,0.07165028864158386,0.06718810584481874,0.10893816161457331,0.9764461836935883,0.9773666858134972,0.996067090803933,0.9956043956043955
TBF,182,0.06052556715181989,0.05875633676116114,0.07909780233461372,0.9771461162998004,0.9810295123981256,0.9197198405989616,0.9296703296703297
