condition,operator,family,n_stacks,mean_absolute_peak_error_slices,exact_match_rate,within_one_slice_rate,mean_false_maxima_count,mean_noise_level,mean_fwhm_slices
native_cached,Tenengrad,gradient,15,0.0,1.0,1.0,0.0,0.10317303628727853,3.2
native_cached,Brenner Gradient,gradient,15,0.0,1.0,1.0,0.26666666666666666,0.10247854301120439,3.3333333333333335
native_cached,Variance of Laplacian,laplacian,15,3.4,0.3333333333333333,0.4666666666666667,1.6,0.10868946721339948,6.733333333333333
native_cached,Sum Modified Laplacian,laplacian,15,3.4,0.3333333333333333,0.4666666666666667,1.6666666666666667,0.1098672221159391,6.8
native_cached,Normalized Variance,statistical,15,1.0,0.6,0.6666666666666666,0.13333333333333333,0.035769638298109314,6.4
native_cached,Energy of Gradient,gradient,15,0.0,1.0,1.0,0.0,0.10317303628727853,3.2
native_cached,Histogram Entropy,entropy,15,3.7333333333333334,0.26666666666666666,0.4,0.6,0.08261705965222525,7.333333333333333
native_cached,GLCM Contrast,texture,15,2.4,0.4,0.5333333333333333,1.0666666666666667,0.11804019157727391,7.6
native_cached,Variance of Gradient,gradient,15,0.0,1.0,1.0,0.0,0.11571873345516606,3.066666666666667
native_cached,Fourier Transform Sharpness Index,frequency,15,0.0,1.0,1.0,0.0,0.06131341373976008,4.066666666666666
native_cached,Fourier High Frequency Energy Ratio,frequency,15,2.466666666666667,0.4666666666666667,0.6,0.9333333333333333,0.1379329464489882,6.733333333333333
native_cached,Roberts Focus Measure,gradient,15,1.8,0.6666666666666666,0.7333333333333333,1.0,0.0988860266580694,5.066666666666666
native_cached,Wavelet W1,wavelet,15,1.9333333333333333,0.6,0.7333333333333333,1.0666666666666667,0.09240618490616281,4.4
native_cached,Wavelet W2,wavelet,15,1.9333333333333333,0.6,0.7333333333333333,1.0666666666666667,0.09240618490616281,4.4
native_cached,Wavelet W3,wavelet,15,1.9333333333333333,0.6,0.7333333333333333,1.0666666666666667,0.09240618490616281,4.4
native_cached,Wavelet Detail Energy (db1),wavelet,15,1.9333333333333333,0.6,0.7333333333333333,1.0666666666666667,0.09240225969112771,4.4
native_cached,Curvelet Transform Sharpness Index,wavelet_alias,15,1.9333333333333333,0.6,0.7333333333333333,1.0666666666666667,0.09240225969112771,4.4
native_cached,DCT Focus Measure,frequency,15,1.6,0.6666666666666666,0.8,0.6,0.06850601570513676,5.866666666666666
native_cached,Intensity Skewness Index,statistical,15,6.0,0.0,0.06666666666666667,0.2,0.056595064517605466,8.733333333333333
native_cached,Squared Gradient,gradient,15,0.0,1.0,1.0,0.0,0.10317303628727853,3.2
native_cached,Gradient Squared Energy,gradient,15,0.0,1.0,1.0,0.0,0.10317303628727853,3.2
native_cached,Mean Intensity,statistical,15,4.733333333333333,0.06666666666666667,0.06666666666666667,1.2666666666666666,0.14194280893861366,6.6
native_cached,Intensity Variance,statistical,15,1.0,0.6,0.6666666666666666,0.4,0.042714075740601036,5.866666666666666
