condition,operator,family,mechanism_score,rank,mean_absolute_peak_error_slices,mean_false_maxima_count,mean_noise_level,mean_fwhm_slices,rank_shift_vs_native,rank_shift_vs_controlled_base
aspect_0.5x_area,Fourier High Frequency Energy Ratio,frequency,0.1319787083582123,20,0.4,0.06666666666666667,0.04405132300254956,5.133333333333334,-3,3
aspect_0.5x_area,Variance of Gradient,gradient,0.1337476977255592,21,0.3333333333333333,0.0,0.047758084463867596,5.4,14,6
aspect_0.5x_area,GLCM Contrast,texture,0.1526420641964645,22,0.06666666666666667,0.2,0.08831061502639624,4.2,-3,-4
aspect_0.5x_area,Normalized Variance,statistical,0.24510233918128657,23,1.0666666666666667,0.13333333333333333,0.030495448733803214,6.933333333333334,14,2
aspect_0.5x_area,Absolute Central Moment 2,statistical,0.2815928436078572,24,1.0,0.4,0.03837324529960785,6.466666666666667,14,1
aspect_0.5x_area,Intensity Variance,statistical,0.2815928436078572,25,1.0,0.4,0.03837324529960785,6.466666666666667,14,1
aspect_0.5x_area,Absolute Central Moment 4,statistical,0.29694076172244466,26,1.2,0.4,0.0628641525628624,6.0,14,1
aspect_0.5x_area,Histogram Entropy,entropy,0.4628353091051213,27,3.8,0.4666666666666667,0.06688304792986056,6.8,5,-1
aspect_0.5x_area,Intensity Range Index,statistical,0.48570002553976044,28,0.8666666666666667,0.9333333333333333,0.142257474049509,6.0,7,1
aspect_0.5x_area,Intensity Skewness Index,statistical,0.5611790239543026,29,6.0,0.2,0.048190772531793415,8.466666666666667,5,0
aspect_0.5x_area,Maximal Intensity,statistical,0.6284356725146198,30,1.2666666666666666,1.1333333333333333,0.23430847362626203,5.466666666666667,4,0
aspect_0.5x_area,Image Power,statistical,0.6786508381468193,31,2.6,1.1333333333333333,0.1414569487201566,7.666666666666667,4,0
aspect_0.5x_area,Mean Intensity,statistical,0.7418216886977407,32,4.733333333333333,1.2666666666666666,0.14194426658857007,6.6,0,0
aspect_0.5x_bicubic,Fourier Transform Sharpness Index,frequency,0.09488743838179454,1,0.0,0.0,0.04587434854365176,4.733333333333333,0,0
aspect_0.5x_bicubic,Curvelet Transform Sharpness Index,wavelet_alias,0.10303373572348819,2,0.26666666666666666,0.0,0.05358472559371367,4.333333333333333,-12,-1
aspect_0.5x_bicubic,Wavelet Detail Energy (db1),wavelet,0.10303373572348819,3,0.26666666666666666,0.0,0.05358472559371367,4.333333333333333,-12,-1
aspect_0.5x_bicubic,Wavelet W1,wavelet,0.10303374494525265,4,0.26666666666666666,0.0,0.0535847306434328,4.333333333333333,-12,-1
aspect_0.5x_bicubic,Wavelet W2,wavelet,0.10303374494525265,5,0.26666666666666666,0.0,0.0535847306434328,4.333333333333333,-12,-1
aspect_0.5x_bicubic,Wavelet W3,wavelet,0.10303374494525265,6,0.26666666666666666,0.0,0.0535847306434328,4.333333333333333,-12,-1
aspect_0.5x_bicubic,Spatial Frequency,gradient,0.10929844081398753,7,0.06666666666666667,0.0,0.055355842392464175,4.6,-13,5
aspect_0.5x_bicubic,Roberts Focus Measure,gradient,0.12195679553472656,8,0.06666666666666667,0.0,0.07006561961809346,4.266666666666667,-11,-6
aspect_0.5x_bicubic,Energy of Gradient,gradient,0.12231674540334742,9,0.13333333333333333,0.0,0.04696261645382087,5.2,7,0
aspect_0.5x_bicubic,Gradient Squared Energy,gradient,0.12231674540334742,10,0.13333333333333333,0.0,0.04696261645382087,5.2,7,0
aspect_0.5x_bicubic,Squared Gradient,gradient,0.12231674540334742,11,0.13333333333333333,0.0,0.04696261645382087,5.2,7,0
aspect_0.5x_bicubic,Tenengrad,gradient,0.12231674540334742,12,0.13333333333333333,0.0,0.04696261645382087,5.2,7,0
aspect_0.5x_bicubic,Brenner Gradient,gradient,0.12269860524920703,13,0.06666666666666667,0.0,0.05802666399490145,4.8,5,5
aspect_0.5x_bicubic,DCT Focus Measure,frequency,0.1274867625831828,14,0.13333333333333333,0.0,0.05912752187761958,4.8,1,-2
aspect_0.5x_bicubic,Modified Tenengrad,gradient,0.12910110543785863,15,0.2,0.0,0.04760092402579877,5.266666666666667,9,2
aspect_0.5x_bicubic,Variance of Gradient,gradient,0.1327818387163907,16,0.2,0.0,0.051172091166119954,5.2,9,1
aspect_0.5x_bicubic,Fourier High Frequency Energy Ratio,frequency,0.13970001692314887,17,0.4666666666666667,0.06666666666666667,0.049449227672134215,4.866666666666666,-6,0
aspect_0.5x_bicubic,Mean Absolute Laplacian,laplacian,0.14005903845808815,18,0.2,0.0,0.08315860411296178,4.0,-10,0
aspect_0.5x_bicubic,Sum Modified Laplacian,laplacian,0.1581113286612156,19,0.2,0.0,0.11482283692429991,3.066666666666667,-12,-3
aspect_0.5x_bicubic,Laplacian Energy,laplacian,0.15908451449619204,20,0.2,0.0,0.11691138605008636,3.0,-9,0
aspect_0.5x_bicubic,Variance of Laplacian,laplacian,0.15908451961543538,21,0.2,0.0,0.1169113888533179,3.0,-9,2
aspect_0.5x_bicubic,GLCM Contrast,texture,0.19805163788833335,22,0.13333333333333333,0.2,0.09482039817062733,4.0,-3,-4
aspect_0.5x_bicubic,Normalized Variance,statistical,0.2185506379585327,23,1.0,0.13333333333333333,0.034361986062128765,6.533333333333333,14,2
aspect_0.5x_bicubic,Absolute Central Moment 2,statistical,0.25769671450638126,24,1.0,0.4,0.04097830527477801,5.933333333333334,14,1
aspect_0.5x_bicubic,Intensity Variance,statistical,0.25769671450638126,25,1.0,0.4,0.04097830527477801,5.933333333333334,14,1
aspect_0.5x_bicubic,Absolute Central Moment 4,statistical,0.3011070019804777,26,1.2,0.3333333333333333,0.0673910856101743,5.933333333333334,14,1
aspect_0.5x_bicubic,Intensity Range Index,statistical,0.43960335711028037,27,1.0,0.8,0.12069215114594693,4.933333333333334,6,0
aspect_0.5x_bicubic,Histogram Entropy,entropy,0.5046276751955019,28,3.8,0.5333333333333333,0.07612013213830997,6.866666666666666,6,0
aspect_0.5x_bicubic,Maximal Intensity,statistical,0.5786915204678362,29,1.5333333333333334,0.8666666666666667,0.1712587575354784,5.2,3,-1
aspect_0.5x_bicubic,Intensity Skewness Index,statistical,0.5905008819541359,30,6.0,0.26666666666666666,0.05509872734041867,8.866666666666667,6,1
aspect_0.5x_bicubic,Image Power,statistical,0.6997260707529427,31,2.1333333333333333,1.1333333333333333,0.14213372969654,7.466666666666667,4,0
aspect_0.5x_bicubic,Mean Intensity,statistical,0.7970977215829833,32,4.733333333333333,1.2666666666666666,0.14194445414212106,6.6,0,0
aspect_0.5x_bilinear,Fourier Transform Sharpness Index,frequency,0.08905541056085682,1,0.0,0.0,0.04141780163835129,4.933333333333334,0,0
aspect_0.5x_bilinear,Spatial Frequency,gradient,0.0914906907356763,2,0.06666666666666667,0.0,0.046502080403506625,4.8,-18,0
aspect_0.5x_bilinear,Curvelet Transform Sharpness Index,wavelet_alias,0.09206550380544709,3,0.3333333333333333,0.0,0.04595759228620745,4.6,-11,0
aspect_0.5x_bilinear,Wavelet Detail Energy (db1),wavelet,0.09206550380544709,4,0.3333333333333333,0.0,0.04595759228620745,4.6,-11,0
aspect_0.5x_bilinear,Wavelet W1,wavelet,0.09206550619572632,5,0.3333333333333333,0.0,0.04595759423488761,4.6,-11,0
aspect_0.5x_bilinear,Wavelet W2,wavelet,0.09206550619572632,6,0.3333333333333333,0.0,0.04595759423488761,4.6,-11,0
aspect_0.5x_bilinear,Wavelet W3,wavelet,0.09206550619572632,7,0.3333333333333333,0.0,0.04595759423488761,4.6,-11,0
aspect_0.5x_bilinear,Sum Modified Laplacian,laplacian,0.09620040828814275,8,0.2,0.0,0.10212926607377168,3.4,-23,-14
aspect_0.5x_bilinear,Mean Absolute Laplacian,laplacian,0.09803934962841454,9,0.26666666666666666,0.0,0.07186462409408635,4.133333333333334,-19,-9
aspect_0.5x_bilinear,Laplacian Energy,laplacian,0.09839367847301732,10,0.2,0.0,0.10391733419691458,3.4,-19,-10
aspect_0.5x_bilinear,Variance of Laplacian,laplacian,0.09839368058312113,11,0.2,0.0,0.10391733591718116,3.4,-19,-8
aspect_0.5x_bilinear,Roberts Focus Measure,gradient,0.1035411958677705,12,0.13333333333333333,0.0,0.062106941830448785,4.6,-7,-2
aspect_0.5x_bilinear,Brenner Gradient,gradient,0.1076471558371793,13,0.13333333333333333,0.0,0.052045582678597234,4.933333333333334,5,5
aspect_0.5x_bilinear,Energy of Gradient,gradient,0.11686113147340214,14,0.2,0.0,0.043883954858279686,5.266666666666667,12,5
aspect_0.5x_bilinear,Gradient Squared Energy,gradient,0.11686113147340214,15,0.2,0.0,0.043883954858279686,5.266666666666667,12,5
aspect_0.5x_bilinear,Squared Gradient,gradient,0.11686113147340214,16,0.2,0.0,0.043883954858279686,5.266666666666667,12,5
aspect_0.5x_bilinear,Tenengrad,gradient,0.11686113147340214,17,0.2,0.0,0.043883954858279686,5.266666666666667,12,5
aspect_0.5x_bilinear,DCT Focus Measure,frequency,0.11702859314521825,18,0.26666666666666666,0.0,0.04980114015495055,5.066666666666666,5,2
