domain,stack_index,source_folder,condition,geometry,direction,scale_factor,interpolation,operator,family,reference_tier,reference_index,slice_count,peak_index,absolute_peak_error_slices,exact_match,within_one_slice,false_maxima_count,noise_level,fwhm_slices
WBC,0,/mnt/d/New_folder/datasets/WBC_dataset1/0,native_cached,native,observational_native,native,native,Intensity Range Index,statistical,REF-B_fixed_ten_diagnostic,7,10,4,3,0,0,2.0,0.11483564013817864,7.0
WBC,0,/mnt/d/New_folder/datasets/WBC_dataset1/0,native_cached,native,observational_native,native,native,Maximal Intensity,statistical,REF-B_fixed_ten_diagnostic,7,10,3,4,0,0,0.0,0.15624999999968747,10.0
WBC,0,/mnt/d/New_folder/datasets/WBC_dataset1/0,native_cached,native,observational_native,native,native,Laplacian Energy,laplacian,REF-B_fixed_ten_diagnostic,7,10,5,2,0,0,0.0,0.022557905020045146,5.0
WBC,0,/mnt/d/New_folder/datasets/WBC_dataset1/0,native_cached,native,observational_native,native,native,Mean Absolute Laplacian,laplacian,REF-B_fixed_ten_diagnostic,7,10,5,2,0,0,0.0,0.02148738642441093,6.0
WBC,0,/mnt/d/New_folder/datasets/WBC_dataset1/0,native_cached,native,observational_native,native,native,Spatial Frequency,gradient,REF-B_fixed_ten_diagnostic,7,10,6,1,0,1,0.0,0.012056251436701795,6.0
WBC,0,/mnt/d/New_folder/datasets/WBC_dataset1/0,native_cached,native,observational_native,native,native,Modified Tenengrad,gradient,REF-B_fixed_ten_diagnostic,7,10,7,0,1,1,0.0,0.015529041980787885,6.0
WBC,0,/mnt/d/New_folder/datasets/WBC_dataset1/0,native_cached,native,observational_native,native,native,Absolute Central Moment 2,statistical,REF-B_fixed_ten_diagnostic,7,10,8,1,0,1,0.0,0.004866723412674566,5.0
WBC,0,/mnt/d/New_folder/datasets/WBC_dataset1/0,native_cached,native,observational_native,native,native,Absolute Central Moment 4,statistical,REF-B_fixed_ten_diagnostic,7,10,8,1,0,1,0.0,0.005283815607047649,5.0
WBC,0,/mnt/d/New_folder/datasets/WBC_dataset1/0,native_cached,native,observational_native,native,native,Image Power,statistical,REF-B_fixed_ten_diagnostic,7,10,7,0,1,1,0.0,0.007947377156591905,5.0
WBC,0,/mnt/d/New_folder/datasets/WBC_dataset1/0,aspect_0.5x_nearest,aspect_preserved,downsample,0.5,nearest,Tenengrad,gradient,REF-B_fixed_ten_diagnostic,7,10,7,0,1,1,0.0,0.016258767562686103,6.0
WBC,0,/mnt/d/New_folder/datasets/WBC_dataset1/0,aspect_0.5x_nearest,aspect_preserved,downsample,0.5,nearest,Brenner Gradient,gradient,REF-B_fixed_ten_diagnostic,7,10,7,0,1,1,0.0,0.014839450146338137,6.0
WBC,0,/mnt/d/New_folder/datasets/WBC_dataset1/0,aspect_0.5x_nearest,aspect_preserved,downsample,0.5,nearest,Variance of Laplacian,laplacian,REF-B_fixed_ten_diagnostic,7,10,5,2,0,0,0.0,0.023111446669704286,5.0
WBC,0,/mnt/d/New_folder/datasets/WBC_dataset1/0,aspect_0.5x_nearest,aspect_preserved,downsample,0.5,nearest,Sum Modified Laplacian,laplacian,REF-B_fixed_ten_diagnostic,7,10,5,2,0,0,0.0,0.022624414628069668,5.0
WBC,0,/mnt/d/New_folder/datasets/WBC_dataset1/0,aspect_0.5x_nearest,aspect_preserved,downsample,0.5,nearest,Normalized Variance,statistical,REF-B_fixed_ten_diagnostic,7,10,8,1,0,1,0.0,0.0049302421845766956,5.0
