domain,operator,S
TBF,Fourier High Frequency Energy Ratio,0.5050969954018686
TBF,Roberts Focus Measure,0.49412815339102956
TBF,Wavelet W1,0.4801685461987072
TBF,Wavelet W2,0.48141527842464416
TBF,Wavelet W3,0.48122493017436824
TBF,Wavelet Detail Energy (db1),0.48024100071305875
TBF,Curvelet Transform Sharpness Index,0.48038035572023
TBF,DCT Focus Measure,0.4323467556724095
TBF,Intensity Skewness Index,0.3930597754016882
TBF,Squared Gradient,0.14332430694699105
TBF,Gradient Squared Energy,0.14317726190518185
TBF,Mean Intensity,0.4599677045671484
TBF,Intensity Variance,0.27065270475590003
TBF,Intensity Range Index,0.21960459964446194
TBF,Maximal Intensity,0.23366079814820565
TBF,Laplacian Energy,0.4935484101574279
TBF,Mean Absolute Laplacian,0.45821047110573193
TBF,Spatial Frequency,0.4826083742891071
TBF,Modified Tenengrad,0.16382382089735126
TBF,Absolute Central Moment 2,0.27141360105456375
TBF,Absolute Central Moment 4,0.2552130578962446
TBF,Image Power,0.4420448124589817
