domains,objective,numerical_aperture,axial_step_um,source_reported_dof_um,dof_to_step_ratio,interpretation,source
PBS;BMA;TBF,100x oil immersion,1.4,0.5,0.5,1.0,engineering acquisition context only,https://doi.org/10.1364/BOE.448280
WBC;TBI,not verified,not verified,varies,not assigned,not assigned,no optical inference made,available dataset provenance
