domain,operator,family,reference_tier,n_stacks,mean_absolute_displacement_slices,median_absolute_displacement_slices,p90_absolute_displacement_slices,mean_absolute_displacement_um,median_absolute_displacement_um,p90_absolute_displacement_um,mean_normalized_axial_displacement,exact_match_rate,within_one_slice_rate,units_status
WBC,Tenengrad,gradient,REF-B_fixed_ten_diagnostic,25773,0.024366585186047413,0.0,0.0,0.009746634074418968,0.0,0.0,0.002707398354005268,0.9774958289683001,0.999185193807473,axial step verified from official record
WBC,Tenengrad,gradient,REF-C_fixed_disjoint_four_confirmatory,25773,0.9500252201916735,1.0,2.0,0.38001008807666936,0.4,0.8,0.10555835779907483,0.4858960928103054,0.6637178442556163,axial step verified from official record
WBC,Brenner Gradient,gradient,REF-B_fixed_ten_diagnostic,25773,0.07961820509835875,0.0,0.0,0.0318472820393435,0.0,0.0,0.008846467233150973,0.924029022620572,0.9981763861405347,axial step verified from official record
WBC,Brenner Gradient,gradient,REF-C_fixed_disjoint_four_confirmatory,25773,0.9922399410235517,1.0,3.0,0.39689597640942076,0.4,1.2000000000000002,0.11024888233595019,0.4642067279711326,0.6551041787917589,axial step verified from official record
WBC,Variance of Laplacian,laplacian,REF-B_fixed_ten_diagnostic,25773,0.7652582159624414,1.0,1.0,0.30610328638497647,0.4,0.4,0.0850286906624935,0.30213789624801146,0.9424979629845187,axial step verified from official record
WBC,Variance of Laplacian,laplacian,REF-C_fixed_disjoint_four_confirmatory,25773,1.7012377294067436,1.0,3.0,0.6804950917626974,0.4,1.2000000000000002,0.18902641437852707,0.14976913824545066,0.5113102859581733,axial step verified from official record
WBC,Sum Modified Laplacian,laplacian,REF-B_fixed_ten_diagnostic,25773,0.7979280642532883,1.0,1.0,0.31917122570131534,0.4,0.4,0.08865867380592092,0.28172894113995267,0.9315174795328445,axial step verified from official record
WBC,Sum Modified Laplacian,laplacian,REF-C_fixed_disjoint_four_confirmatory,25773,1.733829977107826,1.0,3.0,0.6935319908431304,0.4,1.2000000000000002,0.1926477752342029,0.13812904978077833,0.5039382299305475,axial step verified from official record
WBC,Normalized Variance,statistical,REF-B_fixed_ten_diagnostic,25773,2.265161215225236,2.0,3.0,0.9060644860900943,0.8,1.2000000000000002,0.2516845794694707,0.0014356109106429208,0.12031971442982967,axial step verified from official record
WBC,Energy of Gradient,gradient,REF-B_fixed_ten_diagnostic,25773,0.024366585186047413,0.0,0.0,0.009746634074418968,0.0,0.0,0.002707398354005268,0.9774958289683001,0.999185193807473,axial step verified from official record
WBC,Energy of Gradient,gradient,REF-C_fixed_disjoint_four_confirmatory,25773,0.9500252201916735,1.0,2.0,0.38001008807666936,0.4,0.8,0.10555835779907483,0.4858960928103054,0.6637178442556163,axial step verified from official record
WBC,Histogram Entropy,entropy,REF-B_fixed_ten_diagnostic,25773,1.9917743374849648,2.0,4.0,0.7967097349939862,0.8,1.6,0.22130825972055168,0.1435610910642921,0.44992821945446787,axial step verified from official record
WBC,GLCM Contrast,texture,REF-B_fixed_ten_diagnostic,25773,0.24576106778411516,0.0,1.0,0.09830442711364608,0.0,0.4,0.027306785309346132,0.7691770457455477,0.9915803360105537,axial step verified from official record
WBC,Variance of Gradient,gradient,REF-B_fixed_ten_diagnostic,25773,0.11050323982462266,0.0,1.0,0.04420129592984907,0.0,0.4,0.012278137758291409,0.8929499864198968,0.9983315873200637,axial step verified from official record
WBC,Variance of Gradient,gradient,REF-C_fixed_disjoint_four_confirmatory,25773,1.0333682535987274,1.0,3.0,0.41334730143949094,0.4,1.2000000000000002,0.11481869484430306,0.44988941915958564,0.6419120785317969,axial step verified from official record
WBC,Fourier Transform Sharpness Index,frequency,REF-B_fixed_ten_diagnostic,25773,0.07923020214953634,0.0,0.0,0.031692080859814536,0.0,0.0,0.008803355794392925,0.9244558258642765,0.9977883831917123,axial step verified from official record
WBC,Fourier High Frequency Energy Ratio,frequency,REF-B_fixed_ten_diagnostic,25773,0.4592014899313235,0.0,1.0,0.1836805959725294,0.0,0.4,0.05102238777014705,0.5574826368680402,0.9880107088813875,axial step verified from official record
WBC,Fourier High Frequency Energy Ratio,frequency,REF-C_fixed_disjoint_four_confirmatory,25773,1.3951810033756256,1.0,3.0,0.5580724013502503,0.4,1.2000000000000002,0.1550201114861806,0.2827765491017732,0.5657858999728398,axial step verified from official record
WBC,Roberts Focus Measure,gradient,REF-B_fixed_ten_diagnostic,25773,0.10053156403988671,0.0,0.0,0.040212625615954685,0.0,0.0,0.011170173782209634,0.9027276607302216,0.9981763861405347,axial step verified from official record
