domain,operator,family,criterion,raw_value,normalized_value,unit,sample_count,reference_tier,runtime_protocol,candidate_pool,axial_step_um,raw_value_um,physical_unit_status
WBC,Wavelet W2,wavelet,fwhm,4.91483335273348,0.1208693238685585,slices,25773,not_reference_dependent,not_applicable,frozen_32,0.4,1.9659333410933924,converted from slices using verified dataset axial step
WBC,Wavelet W3,wavelet,range_around_global_maximum,1.328328095293524,0.0043446450668858,slices,25773,not_reference_dependent,not_applicable,frozen_32,0.4,0.5313312381174096,converted from slices using verified dataset axial step
WBC,Wavelet W3,wavelet,fwhm,4.91483335273348,0.1208693238685585,slices,25773,not_reference_dependent,not_applicable,frozen_32,0.4,1.9659333410933924,converted from slices using verified dataset axial step
WBC,Wavelet Detail Energy (db1),wavelet,range_around_global_maximum,1.3283668955884065,0.0043536775930124,slices,25773,not_reference_dependent,not_applicable,frozen_32,0.4,0.5313467582353626,converted from slices using verified dataset axial step
WBC,Wavelet Detail Energy (db1),wavelet,fwhm,4.914794552438599,0.1208609132274154,slices,25773,not_reference_dependent,not_applicable,frozen_32,0.4,1.9659178209754398,converted from slices using verified dataset axial step
WBC,Curvelet Transform Sharpness Index,wavelet_alias,range_around_global_maximum,1.3283668955884065,0.0043536775930124,slices,25773,not_reference_dependent,not_applicable,frozen_32,0.4,0.5313467582353626,converted from slices using verified dataset axial step
WBC,Curvelet Transform Sharpness Index,wavelet_alias,fwhm,4.914794552438599,0.1208609132274154,slices,25773,not_reference_dependent,not_applicable,frozen_32,0.4,1.9659178209754398,converted from slices using verified dataset axial step
WBC,DCT Focus Measure,frequency,range_around_global_maximum,1.6668606681410778,0.0831534355213122,slices,25773,not_reference_dependent,not_applicable,frozen_32,0.4,0.6667442672564312,converted from slices using verified dataset axial step
WBC,DCT Focus Measure,frequency,fwhm,5.448609009428472,0.236574514075208,slices,25773,not_reference_dependent,not_applicable,frozen_32,0.4,2.179443603771389,converted from slices using verified dataset axial step
WBC,Intensity Skewness Index,statistical,range_around_global_maximum,2.3228960540100103,0.2358753872695576,slices,25773,not_reference_dependent,not_applicable,frozen_32,0.4,0.9291584216040042,converted from slices using verified dataset axial step
WBC,Intensity Skewness Index,statistical,fwhm,5.6295347844643615,0.2757933337258299,slices,25773,not_reference_dependent,not_applicable,frozen_32,0.4,2.2518139137857447,converted from slices using verified dataset axial step
WBC,Squared Gradient,gradient,range_around_global_maximum,1.3655763783804755,0.0130158701484044,slices,25773,not_reference_dependent,not_applicable,frozen_32,0.4,0.5462305513521902,converted from slices using verified dataset axial step
WBC,Squared Gradient,gradient,fwhm,4.553369805610522,0.0425157909787463,slices,25773,not_reference_dependent,not_applicable,frozen_32,0.4,1.821347922244209,converted from slices using verified dataset axial step
WBC,Gradient Squared Energy,gradient,range_around_global_maximum,1.3655763783804755,0.0130158701484044,slices,25773,not_reference_dependent,not_applicable,frozen_32,0.4,0.5462305513521902,converted from slices using verified dataset axial step
WBC,Gradient Squared Energy,gradient,fwhm,4.553369805610522,0.0425157909787463,slices,25773,not_reference_dependent,not_applicable,frozen_32,0.4,1.821347922244209,converted from slices using verified dataset axial step
WBC,Mean Intensity,statistical,range_around_global_maximum,1.6948356807511735,0.0896658868585777,slices,25773,not_reference_dependent,not_applicable,frozen_32,0.4,0.6779342723004694,converted from slices using verified dataset axial step
WBC,Mean Intensity,statistical,fwhm,4.846001629612385,0.1059488464805672,slices,25773,not_reference_dependent,not_applicable,frozen_32,0.4,1.938400651844954,converted from slices using verified dataset axial step
WBC,Intensity Variance,statistical,range_around_global_maximum,2.5726535521669964,0.2940177579463648,slices,25773,not_reference_dependent,not_applicable,frozen_32,0.4,1.0290614208667985,converted from slices using verified dataset axial step
WBC,Intensity Variance,statistical,fwhm,5.4850812866177785,0.2444805167497919,slices,25773,not_reference_dependent,not_applicable,frozen_32,0.4,2.1940325146471116,converted from slices using verified dataset axial step
WBC,Intensity Range Index,statistical,range_around_global_maximum,1.4860512939898345,0.0410618637714409,slices,25773,not_reference_dependent,not_applicable,frozen_32,0.4,0.5944205175959338,converted from slices using verified dataset axial step
WBC,Intensity Range Index,statistical,fwhm,6.32894890001164,0.4274035509726907,slices,25773,not_reference_dependent,not_applicable,frozen_32,0.4,2.5315795600046562,converted from slices using verified dataset axial step
WBC,Maximal Intensity,statistical,range_around_global_maximum,5.605284600162961,1.0,slices,25773,not_reference_dependent,not_applicable,frozen_32,0.4,2.2421138400651848,converted from slices using verified dataset axial step
WBC,Maximal Intensity,statistical,fwhm,8.970472975594614,1.0,slices,25773,not_reference_dependent,not_applicable,frozen_32,0.4,3.5881891902378458,converted from slices using verified dataset axial step
WBC,Laplacian Energy,laplacian,range_around_global_maximum,1.3158732006363247,0.001445204180253,slices,25773,not_reference_dependent,not_applicable,frozen_32,0.4,0.5263492802545299,converted from slices using verified dataset axial step
WBC,Laplacian Energy,laplacian,fwhm,4.3572343149807935,0.0,slices,25773,not_reference_dependent,not_applicable,frozen_32,0.4,1.7428937259923174,converted from slices using verified dataset axial step
WBC,Mean Absolute Laplacian,laplacian,range_around_global_maximum,1.4682419586388855,0.0369159342793399,slices,25773,not_reference_dependent,not_applicable,frozen_32,0.4,0.5872967834555542,converted from slices using verified dataset axial step
WBC,Mean Absolute Laplacian,laplacian,fwhm,5.259612773057075,0.1956062810668057,slices,25773,not_reference_dependent,not_applicable,frozen_32,0.4,2.10384510922283,converted from slices using verified dataset axial step
WBC,Spatial Frequency,gradient,range_around_global_maximum,1.428704458153882,0.027711790156353,slices,25773,not_reference_dependent,not_applicable,frozen_32,0.4,0.5714817832615527,converted from slices using verified dataset axial step
WBC,Spatial Frequency,gradient,fwhm,4.925503433826097,0.1231822501829314,slices,25773,not_reference_dependent,not_applicable,frozen_32,0.4,1.970201373530439,converted from slices using verified dataset axial step
WBC,Modified Tenengrad,gradient,range_around_global_maximum,1.3768284638963255,0.0156353027251131,slices,25773,not_reference_dependent,not_applicable,frozen_32,0.4,0.5507313855585302,converted from slices using verified dataset axial step
WBC,Modified Tenengrad,gradient,fwhm,4.581422418810383,0.0485966845252613,slices,25773,not_reference_dependent,not_applicable,frozen_32,0.4,1.8325689675241532,converted from slices using verified dataset axial step
WBC,Absolute Central Moment 2,statistical,range_around_global_maximum,2.5726535521669964,0.2940177579463648,slices,25773,not_reference_dependent,not_applicable,frozen_32,0.4,1.0290614208667985,converted from slices using verified dataset axial step
WBC,Absolute Central Moment 2,statistical,fwhm,5.4850812866177785,0.2444805167497919,slices,25773,not_reference_dependent,not_applicable,frozen_32,0.4,2.1940325146471116,converted from slices using verified dataset axial step
WBC,Absolute Central Moment 4,statistical,range_around_global_maximum,2.321654444573779,0.2355863464335071,slices,25773,not_reference_dependent,not_applicable,frozen_32,0.4,0.9286617778295115,converted from slices using verified dataset axial step
WBC,Absolute Central Moment 4,statistical,fwhm,5.285958173282117,0.2013171064030211,slices,25773,not_reference_dependent,not_applicable,frozen_32,0.4,2.114383269312847,converted from slices using verified dataset axial step
WBC,Image Power,statistical,range_around_global_maximum,1.985178287354984,0.1572562798637895,slices,25773,not_reference_dependent,not_applicable,frozen_32,0.4,0.7940713149419936,converted from slices using verified dataset axial step
WBC,Image Power,statistical,fwhm,5.882163504442634,0.3305550182090381,slices,25773,not_reference_dependent,not_applicable,frozen_32,0.4,2.3528654017770534,converted from slices using verified dataset axial step
TBI,Tenengrad,gradient,range_around_global_maximum,1.0333333333333334,0.0,slices,30,not_reference_dependent,not_applicable,frozen_32,2.5,2.5833333333333335,converted from slices using verified dataset axial step
TBI,Tenengrad,gradient,fwhm,1.4333333333333331,0.0,slices,30,not_reference_dependent,not_applicable,frozen_32,2.5,3.583333333333333,converted from slices using verified dataset axial step
TBI,Brenner Gradient,gradient,range_around_global_maximum,1.0666666666666669,0.0322580645161289,slices,30,not_reference_dependent,not_applicable,frozen_32,2.5,2.666666666666667,converted from slices using verified dataset axial step
TBI,Brenner Gradient,gradient,fwhm,1.6,0.0211864406779661,slices,30,not_reference_dependent,not_applicable,frozen_32,2.5,4.0,converted from slices using verified dataset axial step
TBI,Variance of Laplacian,laplacian,range_around_global_maximum,1.1666666666666667,0.1290322580645161,slices,30,not_reference_dependent,not_applicable,frozen_32,2.5,2.916666666666667,converted from slices using verified dataset axial step
TBI,Variance of Laplacian,laplacian,fwhm,6.933333333333334,0.6991525423728813,slices,30,not_reference_dependent,not_applicable,frozen_32,2.5,17.333333333333336,converted from slices using verified dataset axial step
TBI,Sum Modified Laplacian,laplacian,range_around_global_maximum,1.1666666666666667,0.1290322580645161,slices,30,not_reference_dependent,not_applicable,frozen_32,2.5,2.916666666666667,converted from slices using verified dataset axial step
TBI,Sum Modified Laplacian,laplacian,fwhm,7.0,0.7076271186440677,slices,30,not_reference_dependent,not_applicable,frozen_32,2.5,17.5,converted from slices using verified dataset axial step
TBI,Normalized Variance,statistical,range_around_global_maximum,1.0333333333333334,0.0,slices,30,not_reference_dependent,not_applicable,frozen_32,2.5,2.5833333333333335,converted from slices using verified dataset axial step
TBI,Normalized Variance,statistical,fwhm,3.033333333333333,0.2033898305084745,slices,30,not_reference_dependent,not_applicable,frozen_32,2.5,7.583333333333333,converted from slices using verified dataset axial step
TBI,Energy of Gradient,gradient,range_around_global_maximum,1.0333333333333334,0.0,slices,30,not_reference_dependent,not_applicable,frozen_32,2.5,2.5833333333333335,converted from slices using verified dataset axial step
TBI,Energy of Gradient,gradient,fwhm,1.4333333333333331,0.0,slices,30,not_reference_dependent,not_applicable,frozen_32,2.5,3.583333333333333,converted from slices using verified dataset axial step
TBI,Histogram Entropy,entropy,range_around_global_maximum,1.1,0.064516129032258,slices,30,not_reference_dependent,not_applicable,frozen_32,2.5,2.75,converted from slices using verified dataset axial step
TBI,Histogram Entropy,entropy,fwhm,4.133333333333334,0.3432203389830509,slices,30,not_reference_dependent,not_applicable,frozen_32,2.5,10.333333333333334,converted from slices using verified dataset axial step
TBI,GLCM Contrast,texture,range_around_global_maximum,1.1333333333333333,0.0967741935483869,slices,30,not_reference_dependent,not_applicable,frozen_32,2.5,2.833333333333333,converted from slices using verified dataset axial step
TBI,GLCM Contrast,texture,fwhm,8.933333333333334,0.9533898305084744,slices,30,not_reference_dependent,not_applicable,frozen_32,2.5,22.333333333333336,converted from slices using verified dataset axial step
TBI,Variance of Gradient,gradient,range_around_global_maximum,1.0333333333333334,0.0,slices,30,not_reference_dependent,not_applicable,frozen_32,2.5,2.5833333333333335,converted from slices using verified dataset axial step
TBI,Variance of Gradient,gradient,fwhm,1.4333333333333331,0.0,slices,30,not_reference_dependent,not_applicable,frozen_32,2.5,3.583333333333333,converted from slices using verified dataset axial step
TBI,Fourier Transform Sharpness Index,frequency,range_around_global_maximum,1.0666666666666669,0.0322580645161289,slices,30,not_reference_dependent,not_applicable,frozen_32,2.5,2.666666666666667,converted from slices using verified dataset axial step
